phone,name,risk,alias,network_role
9832515670,"Arun Sharma",LOW,Ghost,FINANCIER
9838207745,"Priya Singh",LOW,Mastermind,CONNECTOR
9826928896,"Mohammad Khan",HIGH,The Don,BROKER
9889209503,"Imran Khan",CRITICAL,Leopard,SIM_PROVIDER
9866953946,"Kiran Verma",HIGH,Ghost,HACKER
9877408021,"Mohammad Joshi",CRITICAL,Mastermind,RECRUITER
9884325255,"Arun Yadav",HIGH,Tiger,CONNECTOR
9875683368,"Priya Yadav",MEDIUM,Shadow,HACKER
9815710697,"Kiran Khan",LOW,Hawk,CONNECTOR
9838644631,"Geeta Verma",CRITICAL,Fox,HACKER
9891432390,"Arun Patel",CRITICAL,Leopard,ENFORCER
9885455153,"Rahul Yadav",HIGH,Shadow,SIM_PROVIDER
9846729372,"Meena Kumar",HIGH,Leopard,ENFORCER
9892496436,"Neha Singh",LOW,Tiger,BROKER
9892270447,"Mohammad Singh",HIGH,Mastermind,MULE
9814821134,"Arun Verma",LOW,Tech Wizard,CALLER
9886191215,"Rahul Kumar",HIGH,Leopard,HACKER
9847754464,"Mohammad Verma",LOW,Money King,HACKER
9813226041,"Zara Menon",MEDIUM,Hawk,SIM_PROVIDER
9818756536,"Priya Khan",MEDIUM,Hawk,FINANCIER
9890844583,"Suresh Rao",MEDIUM,Money King,ENFORCER
9818233257,"Vikram Reddy",MEDIUM,Shadow,SIM_PROVIDER
9812283952,"Sanjay Khan",HIGH,Tiger,CONNECTOR
9845439086,"Priya Khan",CRITICAL,Money King,BROKER
9841094823,"Sunita Nair",MEDIUM,Leopard,RECRUITER
9897513198,"Deepak Gupta",MEDIUM,Money King,HACKER
9870290441,"Priya Mishra",CRITICAL,Tiger,ENFORCER
9893627342,"Abdul Gupta",CRITICAL,Ghost,SIM_PROVIDER
9870789331,"Pooja Menon",CRITICAL,Ghost,RECRUITER
9869889080,"Meena Verma",HIGH,Leopard,HACKER
9850267115,"Meena Sharma",LOW,Shadow,CONNECTOR
9879477165,"Zara Gupta",MEDIUM,Tiger,HACKER
9889433937,"Sanjay Patel",MEDIUM,Tech Wizard,RECRUITER
9812874866,"Neha Menon",HIGH,The Don,FINANCIER
9876359461,"Rajesh Gupta",CRITICAL,Ghost,HACKER
9869071578,"Imran Patel",HIGH,Fox,KINGPIN
9890366183,"Rajesh Kumar",CRITICAL,Mastermind,HACKER
9851396328,"Rahul Khan",HIGH,Tech Wizard,CALLER
9847572206,"Amit Yadav",CRITICAL,Hawk,ENFORCER
9862952550,"Vikram Bhat",CRITICAL,The Don,MULE
9852361323,"Zara Menon",LOW,Shadow,HACKER
9898954413,"Sanjay Patel",CRITICAL,Ghost,SIM_PROVIDER
9862172520,"Sanjay Joshi",LOW,Mastermind,SIM_PROVIDER
9837274842,"Abdul Nair",CRITICAL,Fox,HACKER
9887052620,"Rahul Patel",MEDIUM,Fox,HACKER
9822842558,"Pooja Singh",MEDIUM,Money King,SIM_PROVIDER
9866750020,"Pooja Verma",MEDIUM,Money King,SIM_PROVIDER
9840084460,"Zara Rao",LOW,Tech Wizard,HACKER
9840734667,"Abdul Patel",MEDIUM,Money King,CALLER
9879018722,"Suresh Khan",MEDIUM,Tech Wizard,CONNECTOR
9892331932,"Meena Rao",LOW,Shadow,CALLER
9891392226,"Zara Menon",CRITICAL,Money King,MULE
9838149507,"Amit Mishra",LOW,Tiger,FINANCIER
9867427535,"Sanjay Sharma",LOW,Fox,HACKER
9874498239,"Mohammad Reddy",MEDIUM,Money King,KINGPIN
9879182492,"Pooja Singh",MEDIUM,Money King,HACKER
9868701940,"Rahul Gupta",CRITICAL,Mastermind,HACKER
9869921015,"Deepak Singh",CRITICAL,Hawk,RECRUITER
9868767558,"Suresh Patel",HIGH,Ghost,BROKER
9829729477,"Kiran Rao",HIGH,Hawk,CALLER
9842392699,"Priya Nair",CRITICAL,Money King,ENFORCER
9879480830,"Sanjay Mishra",CRITICAL,Money King,HACKER
9866008059,"Pooja Bhat",MEDIUM,Shadow,RECRUITER
9818460871,"Kiran Mishra",HIGH,Leopard,KINGPIN
9817262390,"Sanjay Verma",MEDIUM,The Don,ENFORCER
9867363304,"Arun Yadav",LOW,The Don,RECRUITER
9870651187,"Sanjay Khan",LOW,Fox,FINANCIER
9832071584,"Geeta Kumar",LOW,Mastermind,HACKER
9840247598,"Sanjay Singh",MEDIUM,Money King,MULE
9883403979,"Mohammad Nair",MEDIUM,Shadow,FINANCIER
9889719337,"Sanjay Bhat",HIGH,Ghost,KINGPIN
9889248472,"Abdul Menon",MEDIUM,Leopard,FINANCIER
9829817608,"Imran Menon",LOW,Leopard,HACKER
9886961466,"Neha Yadav",HIGH,Tiger,ENFORCER
9895163335,"Zara Khan",LOW,The Don,ENFORCER
9897135511,"Amit Reddy",CRITICAL,Shadow,FINANCIER
9844630960,"Pooja Nair",LOW,Tech Wizard,FINANCIER
9856572652,"Mohammad Khan",HIGH,Fox,HACKER
9893102546,"Deepak Patel",MEDIUM,The Don,SIM_PROVIDER
9862049336,"Priya Khan",HIGH,Mastermind,FINANCIER
9833216354,"Vikram Reddy",CRITICAL,Tiger,RECRUITER
9897157582,"Meena Nair",CRITICAL,Ghost,SIM_PROVIDER
9817280577,"Suresh Reddy",MEDIUM,Money King,CONNECTOR
9819276822,"Abdul Menon",HIGH,Tiger,FINANCIER
9842438803,"Rahul Mishra",HIGH,Leopard,SIM_PROVIDER
9830151093,"Deepak Sharma",HIGH,Fox,KINGPIN
9899827825,"Farooq Kumar",CRITICAL,The Don,ENFORCER
9837212855,"Farooq Nair",LOW,Tiger,MULE
9819446316,"Suresh Joshi",CRITICAL,Fox,MULE
9831559129,"Imran Patel",HIGH,Hawk,RECRUITER
9832161116,"Amit Kumar",CRITICAL,Shadow,ENFORCER
9869726761,"Rajesh Gupta",LOW,Hawk,BROKER
9816722058,"Pooja Gupta",MEDIUM,Shadow,FINANCIER
9825413279,"Arun Verma",CRITICAL,Money King,CALLER
9855744532,"Rahul Bhat",LOW,Money King,ENFORCER
9827618422,"Arun Sharma",MEDIUM,Fox,HACKER
9821722810,"Zara Mishra",LOW,Hawk,SIM_PROVIDER
9871832576,"Rajesh Bhat",LOW,Fox,ENFORCER
9837854372,"Vikram Verma",LOW,Shadow,FINANCIER
9870458092,"Zara Sharma",MEDIUM,Tiger,CALLER
9843757801,"Sanjay Sharma",HIGH,Hawk,CONNECTOR
9850394552,"Vikram Nair",MEDIUM,Money King,KINGPIN
9856585957,"Zara Singh",LOW,Hawk,KINGPIN
9837813991,"Sunita Nair",LOW,Tech Wizard,FINANCIER
9861716796,"Priya Joshi",CRITICAL,The Don,CALLER
9829539100,"Rajesh Patel",CRITICAL,Ghost,SIM_PROVIDER
9885805483,"Abdul Gupta",CRITICAL,Tiger,ENFORCER
9878577949,"Kiran Singh",LOW,Tech Wizard,CONNECTOR
9861446701,"Farooq Joshi",CRITICAL,The Don,HACKER
9861396582,"Sunita Rao",HIGH,Ghost,CALLER
9830000252,"Kiran Yadav",MEDIUM,Tiger,MULE
9872956156,"Sunita Mishra",LOW,Fox,CONNECTOR
9861652724,"Zara Yadav",MEDIUM,Money King,BROKER
9823864273,"Kiran Mishra",LOW,Tiger,HACKER
9838195832,"Meena Bhat",CRITICAL,Tech Wizard,FINANCIER
9885896285,"Geeta Rao",CRITICAL,Leopard,HACKER
9860133659,"Abdul Rao",MEDIUM,Hawk,RECRUITER
9894581467,"Rajesh Yadav",HIGH,Tech Wizard,SIM_PROVIDER
9852340383,"Neha Mishra",LOW,The Don,MULE
9853073020,"Suresh Verma",MEDIUM,Tech Wizard,MULE
9887456818,"Farooq Reddy",MEDIUM,Ghost,FINANCIER
9829361215,"Pooja Mishra",MEDIUM,Shadow,RECRUITER
9859732822,"Amit Nair",HIGH,Money King,RECRUITER
9835008417,"Geeta Khan",CRITICAL,Mastermind,RECRUITER
9898810449,"Vikram Rao",LOW,Ghost,BROKER
9825836174,"Vikram Patel",LOW,The Don,ENFORCER
9811549628,"Geeta Khan",HIGH,Leopard,HACKER
9887029003,"Imran Khan",MEDIUM,Fox,FINANCIER
9849946406,"Priya Kumar",CRITICAL,Ghost,HACKER
9865497598,"Zara Joshi",MEDIUM,Shadow,RECRUITER
9888730758,"Abdul Gupta",LOW,The Don,FINANCIER
9879517163,"Priya Mishra",MEDIUM,Mastermind,HACKER
9867727779,"Neha Rao",CRITICAL,Ghost,BROKER
9866242191,"Vikram Menon",MEDIUM,Mastermind,BROKER
9896894420,"Kiran Gupta",LOW,Mastermind,MULE
9879355283,"Mohammad Nair",HIGH,Mastermind,RECRUITER
9888607325,"Kiran Nair",MEDIUM,Fox,FINANCIER
9856143941,"Zara Yadav",HIGH,The Don,ENFORCER
9863317909,"Vikram Patel",CRITICAL,Tiger,ENFORCER
9889767022,"Deepak Sharma",CRITICAL,Tech Wizard,SIM_PROVIDER
9896436324,"Pooja Singh",LOW,Mastermind,FINANCIER
9839263619,"Kiran Menon",LOW,Fox,MULE
9898889739,"Kiran Singh",MEDIUM,Money King,FINANCIER
9823619349,"Imran Reddy",MEDIUM,Leopard,RECRUITER
9886137318,"Rajesh Mishra",CRITICAL,Mastermind,KINGPIN
9827286205,"Amit Verma",HIGH,Leopard,CONNECTOR
9842578972,"Rajesh Sharma",CRITICAL,Mastermind,KINGPIN
9810368322,"Meena Verma",CRITICAL,Leopard,HACKER
9865994587,"Imran Yadav",HIGH,Leopard,BROKER
9876759312,"Farooq Singh",CRITICAL,Tech Wizard,HACKER
9810451351,"Vikram Verma",LOW,Fox,SIM_PROVIDER
9857785387,"Zara Bhat",MEDIUM,Mastermind,CALLER
9846988474,"Arun Singh",MEDIUM,Hawk,HACKER
9845713477,"Meena Nair",LOW,Tiger,BROKER
9837638953,"Abdul Mishra",CRITICAL,Money King,ENFORCER
9893194384,"Abdul Kumar",HIGH,Shadow,FINANCIER
9827110455,"Geeta Menon",HIGH,Tiger,HACKER
9824403002,"Zara Reddy",CRITICAL,Money King,CALLER
9881809475,"Suresh Gupta",LOW,Shadow,CALLER
9838312840,"Deepak Yadav",HIGH,Ghost,HACKER
9856320002,"Amit Patel",MEDIUM,Tech Wizard,MULE
9852293740,"Rahul Kumar",LOW,Fox,CALLER
9889980456,"Rahul Kumar",CRITICAL,Fox,FINANCIER
9888953880,"Neha Patel",MEDIUM,Money King,CALLER
9832107580,"Arun Gupta",HIGH,Ghost,SIM_PROVIDER
9898696512,"Abdul Patel",LOW,Mastermind,CONNECTOR
9888656434,"Deepak Kumar",LOW,Fox,SIM_PROVIDER
9843950715,"Vikram Menon",HIGH,Hawk,MULE
9845503904,"Suresh Kumar",LOW,Tiger,KINGPIN
9872254462,"Meena Singh",CRITICAL,Ghost,HACKER
9825502852,"Sunita Menon",HIGH,The Don,CONNECTOR
9810071448,"Farooq Nair",HIGH,Shadow,ENFORCER
9855770758,"Amit Kumar",MEDIUM,Money King,MULE
9817185241,"Mohammad Sharma",CRITICAL,Ghost,BROKER
9889793028,"Deepak Bhat",CRITICAL,The Don,MULE
9882654821,"Imran Rao",HIGH,Hawk,CONNECTOR
9853934509,"Kiran Joshi",MEDIUM,Tiger,FINANCIER
9818018001,"Rahul Rao",MEDIUM,Shadow,KINGPIN
9830067398,"Deepak Singh",HIGH,The Don,RECRUITER
9822973961,"Vikram Sharma",LOW,Tech Wizard,HACKER
9817918802,"Arun Mishra",MEDIUM,Leopard,SIM_PROVIDER
9829215443,"Farooq Singh",CRITICAL,Money King,MULE
9839301377,"Mohammad Nair",HIGH,Fox,RECRUITER
9838253325,"Zara Verma",CRITICAL,Ghost,MULE
9815026335,"Zara Khan",HIGH,Hawk,KINGPIN
9857968595,"Priya Menon",CRITICAL,Leopard,FINANCIER
9855015314,"Neha Bhat",MEDIUM,Shadow,CONNECTOR
9874284712,"Neha Khan",LOW,Tech Wizard,CONNECTOR
9873694923,"Sunita Reddy",LOW,Ghost,ENFORCER
9854724604,"Arun Verma",MEDIUM,Leopard,CONNECTOR
9889874176,"Arun Reddy",HIGH,The Don,BROKER
9812367052,"Sanjay Sharma",MEDIUM,The Don,HACKER
9865299345,"Geeta Patel",CRITICAL,Tiger,MULE
9818419407,"Arun Nair",LOW,Fox,CALLER
9858065859,"Imran Rao",HIGH,Leopard,KINGPIN
9818835839,"Deepak Patel",MEDIUM,Shadow,SIM_PROVIDER
9882248230,"Geeta Verma",HIGH,Tech Wizard,CONNECTOR
9874424011,"Rahul Gupta",MEDIUM,Fox,CALLER
9847321118,"Geeta Menon",LOW,Leopard,MULE
9823375207,"Imran Kumar",CRITICAL,Ghost,CALLER
9842277024,"Mohammad Gupta",CRITICAL,Shadow,SIM_PROVIDER
9820115316,"Priya Joshi",MEDIUM,The Don,CONNECTOR
9876035898,"Sunita Mishra",HIGH,Money King,RECRUITER
9887449899,"Deepak Bhat",CRITICAL,Shadow,ENFORCER
9867826589,"Deepak Gupta",MEDIUM,Tech Wizard,MULE
9879234670,"Deepak Yadav",LOW,Tiger,CONNECTOR
9858324218,"Geeta Mishra",CRITICAL,Shadow,HACKER
9870532458,"Amit Joshi",MEDIUM,Shadow,FINANCIER
9819398719,"Vikram Singh",CRITICAL,Tech Wizard,CALLER
9834164510,"Neha Nair",CRITICAL,Shadow,CONNECTOR
9859407785,"Kiran Singh",MEDIUM,Money King,HACKER
9893501395,"Farooq Menon",LOW,Money King,CALLER
9885078497,"Neha Kumar",MEDIUM,Ghost,RECRUITER
9883613221,"Kiran Sharma",CRITICAL,Ghost,CONNECTOR
9895397609,"Rahul Menon",MEDIUM,Hawk,ENFORCER
9858121780,"Priya Kumar",CRITICAL,Hawk,HACKER
9845590171,"Sanjay Yadav",CRITICAL,Ghost,SIM_PROVIDER
9844851332,"Mohammad Joshi",LOW,The Don,KINGPIN
9829060278,"Vikram Sharma",HIGH,Tech Wizard,CONNECTOR
9895506220,"Amit Nair",CRITICAL,Shadow,CALLER
9832942391,"Meena Bhat",MEDIUM,Tiger,BROKER
9826835960,"Neha Bhat",MEDIUM,Shadow,ENFORCER
9856621144,"Rajesh Reddy",CRITICAL,Fox,BROKER
9846943581,"Priya Rao",HIGH,Leopard,FINANCIER
9885081382,"Abdul Kumar",MEDIUM,Hawk,CONNECTOR
9817645350,"Geeta Reddy",LOW,Mastermind,RECRUITER
9822150120,"Deepak Verma",LOW,The Don,BROKER
9825608153,"Neha Bhat",MEDIUM,The Don,RECRUITER
9853426141,"Deepak Kumar",MEDIUM,Money King,SIM_PROVIDER
9860436260,"Kiran Khan",HIGH,Fox,HACKER
9874371127,"Vikram Mishra",MEDIUM,Tiger,SIM_PROVIDER
9877021950,"Priya Singh",CRITICAL,Shadow,CALLER
9891079780,"Geeta Verma",MEDIUM,Ghost,MULE
9840254890,"Meena Reddy",LOW,Hawk,SIM_PROVIDER
9875295588,"Arun Sharma",MEDIUM,Shadow,CONNECTOR
9893651438,"Priya Gupta",MEDIUM,Leopard,CALLER
9842271771,"Amit Rao",HIGH,Tiger,SIM_PROVIDER
9825190307,"Mohammad Singh",LOW,Ghost,RECRUITER
9874207265,"Farooq Nair",MEDIUM,The Don,BROKER
9847140830,"Amit Sharma",CRITICAL,Shadow,CONNECTOR
9883614183,"Farooq Gupta",MEDIUM,Tech Wizard,ENFORCER
9886690449,"Priya Rao",CRITICAL,Money King,KINGPIN
9832592097,"Vikram Rao",HIGH,Money King,RECRUITER
9893470181,"Farooq Mishra",MEDIUM,Ghost,MULE
9868462842,"Rajesh Singh",LOW,Ghost,HACKER
9848636048,"Deepak Patel",CRITICAL,Leopard,CONNECTOR
9877021534,"Mohammad Patel",LOW,Leopard,CALLER
9896163707,"Vikram Mishra",HIGH,Shadow,MULE
9826631128,"Neha Kumar",CRITICAL,Ghost,CONNECTOR
9849719937,"Vikram Nair",MEDIUM,Tech Wizard,SIM_PROVIDER
9867207882,"Rahul Singh",HIGH,Tiger,SIM_PROVIDER
9881937188,"Meena Joshi",LOW,Tiger,ENFORCER
9825733770,"Geeta Reddy",HIGH,The Don,SIM_PROVIDER
9816898787,"Pooja Khan",MEDIUM,Mastermind,RECRUITER
9852829367,"Pooja Gupta",LOW,Fox,CALLER
9885619793,"Kiran Mishra",LOW,Leopard,HACKER
9877281688,"Geeta Mishra",CRITICAL,Tech Wizard,CONNECTOR
9868433619,"Neha Singh",CRITICAL,Leopard,FINANCIER
9830308334,"Zara Bhat",CRITICAL,Tiger,FINANCIER
9813452893,"Arun Patel",LOW,Hawk,MULE
9844955038,"Arun Rao",MEDIUM,Money King,CONNECTOR
9830157881,"Pooja Verma",HIGH,Mastermind,BROKER
9863575066,"Abdul Nair",MEDIUM,Money King,CALLER
9887200790,"Farooq Menon",CRITICAL,Money King,MULE
9815808645,"Vikram Gupta",MEDIUM,Shadow,CONNECTOR
9818207364,"Amit Patel",MEDIUM,The Don,FINANCIER
9846163041,"Kiran Rao",CRITICAL,Tech Wizard,SIM_PROVIDER
9831378478,"Geeta Bhat",MEDIUM,Shadow,MULE
9846101602,"Zara Bhat",CRITICAL,Money King,ENFORCER
9855281737,"Zara Sharma",CRITICAL,Shadow,KINGPIN
9838679052,"Meena Gupta",CRITICAL,Mastermind,HACKER
9849446775,"Zara Khan",HIGH,Ghost,HACKER
9852028529,"Deepak Reddy",CRITICAL,Tiger,FINANCIER
9865764288,"Pooja Rao",MEDIUM,Shadow,ENFORCER
9895329722,"Priya Sharma",MEDIUM,Tiger,MULE
9875090283,"Rahul Nair",CRITICAL,Money King,KINGPIN
9829358288,"Deepak Menon",MEDIUM,Mastermind,RECRUITER
9879702049,"Farooq Menon",HIGH,Ghost,BROKER
9851860526,"Imran Gupta",MEDIUM,Leopard,MULE
9869676674,"Rahul Menon",MEDIUM,Hawk,KINGPIN
9834307014,"Farooq Joshi",CRITICAL,Hawk,ENFORCER
9870178046,"Imran Nair",MEDIUM,Ghost,CONNECTOR
9836926274,"Sunita Nair",CRITICAL,Ghost,KINGPIN
9817531322,"Amit Joshi",HIGH,Ghost,RECRUITER
9881198429,"Suresh Yadav",LOW,Fox,BROKER
9813647889,"Imran Joshi",HIGH,Ghost,SIM_PROVIDER
9889659054,"Meena Gupta",MEDIUM,Leopard,HACKER
9831098378,"Meena Patel",LOW,Leopard,FINANCIER
9840521033,"Deepak Sharma",CRITICAL,Money King,HACKER
9818192719,"Vikram Mishra",LOW,Money King,SIM_PROVIDER
9886614591,"Deepak Yadav",CRITICAL,Hawk,BROKER
9859422254,"Zara Reddy",LOW,The Don,FINANCIER
9843989593,"Neha Nair",MEDIUM,The Don,CONNECTOR
9878839481,"Rahul Joshi",HIGH,Money King,MULE
9845053955,"Mohammad Nair",LOW,The Don,RECRUITER
9867674642,"Pooja Reddy",HIGH,Leopard,MULE
9856895721,"Geeta Khan",LOW,The Don,CONNECTOR
9870135917,"Neha Khan",MEDIUM,Hawk,SIM_PROVIDER
9880282089,"Sanjay Rao",MEDIUM,Mastermind,FINANCIER
9889977105,"Zara Nair",MEDIUM,Ghost,CONNECTOR
9831848618,"Zara Rao",MEDIUM,The Don,BROKER
9880932991,"Rahul Nair",LOW,Leopard,RECRUITER
9896978978,"Abdul Sharma",HIGH,Tiger,CONNECTOR
9814943719,"Geeta Rao",HIGH,The Don,CONNECTOR
9855803470,"Mohammad Nair",MEDIUM,Money King,RECRUITER
9856363374,"Kiran Menon",LOW,Hawk,KINGPIN
9897504327,"Suresh Yadav",CRITICAL,Money King,BROKER
9826729559,"Farooq Gupta",CRITICAL,Tech Wizard,CONNECTOR
9819802730,"Kiran Mishra",CRITICAL,Mastermind,KINGPIN
9857823086,"Imran Reddy",LOW,Tech Wizard,RECRUITER
9888797645,"Farooq Patel",LOW,Money King,SIM_PROVIDER
9891274090,"Arun Patel",LOW,Mastermind,SIM_PROVIDER
9872837960,"Arun Singh",HIGH,Tech Wizard,MULE
9840496516,"Sanjay Menon",HIGH,Ghost,KINGPIN
9861581138,"Farooq Kumar",HIGH,Ghost,BROKER
9819334803,"Amit Nair",LOW,Tech Wizard,SIM_PROVIDER
9834464801,"Pooja Khan",MEDIUM,Ghost,RECRUITER
9814999094,"Abdul Reddy",CRITICAL,Tiger,KINGPIN
9864368906,"Sunita Gupta",MEDIUM,Fox,MULE
9847496280,"Geeta Joshi",MEDIUM,Tech Wizard,MULE
9851891785,"Arun Joshi",CRITICAL,Mastermind,CALLER
9865382092,"Rahul Patel",HIGH,The Don,CONNECTOR
9859508750,"Rahul Patel",HIGH,Shadow,CONNECTOR
9846134296,"Meena Kumar",CRITICAL,Hawk,BROKER
9890149179,"Meena Khan",CRITICAL,Ghost,MULE
9871466432,"Amit Sharma",MEDIUM,Ghost,KINGPIN
9869521228,"Sanjay Verma",LOW,Shadow,HACKER
9856890292,"Abdul Menon",MEDIUM,Money King,HACKER
9850003082,"Rajesh Patel",HIGH,Ghost,HACKER
9844329817,"Abdul Yadav",LOW,The Don,CONNECTOR
9821703490,"Pooja Sharma",CRITICAL,Ghost,ENFORCER
9847614989,"Priya Sharma",CRITICAL,Money King,CALLER
9854469926,"Zara Nair",MEDIUM,Ghost,HACKER
9842808779,"Rajesh Nair",CRITICAL,Money King,RECRUITER
9889651477,"Arun Bhat",HIGH,Ghost,CONNECTOR
9848520035,"Farooq Singh",MEDIUM,Fox,HACKER
9818410367,"Arun Khan",HIGH,Fox,MULE
9834038049,"Sunita Singh",LOW,Hawk,FINANCIER
9877777548,"Sunita Yadav",CRITICAL,Shadow,KINGPIN
9898755304,"Pooja Verma",LOW,Ghost,CONNECTOR
9848889257,"Farooq Bhat",LOW,The Don,HACKER
9825734473,"Imran Yadav",MEDIUM,Tech Wizard,KINGPIN
9895411520,"Pooja Rao",HIGH,Tiger,FINANCIER
9895057139,"Abdul Kumar",LOW,Leopard,BROKER
9877163334,"Sunita Nair",MEDIUM,Money King,BROKER
9896296161,"Sanjay Yadav",CRITICAL,Ghost,KINGPIN
9850535811,"Pooja Mishra",HIGH,Tech Wizard,HACKER
9817669463,"Kiran Patel",LOW,Money King,CONNECTOR
9834026786,"Deepak Patel",MEDIUM,Ghost,CONNECTOR
9820494958,"Rajesh Bhat",MEDIUM,Hawk,HACKER
9882192460,"Pooja Yadav",LOW,Mastermind,BROKER
9885605540,"Rahul Verma",HIGH,Shadow,SIM_PROVIDER
9812877849,"Mohammad Bhat",LOW,Money King,CALLER
9852783428,"Farooq Patel",HIGH,Fox,KINGPIN
9810945657,"Farooq Rao",CRITICAL,Fox,CONNECTOR
9869063321,"Amit Reddy",HIGH,Ghost,HACKER
9876081359,"Arun Khan",HIGH,The Don,CONNECTOR
9868920223,"Vikram Nair",LOW,Leopard,CONNECTOR
9871871434,"Deepak Rao",MEDIUM,Shadow,KINGPIN
9826827793,"Priya Nair",HIGH,Ghost,SIM_PROVIDER
9899923601,"Rajesh Kumar",MEDIUM,Mastermind,CALLER
9885917051,"Rajesh Nair",HIGH,Tiger,FINANCIER
9837399865,"Deepak Mishra",HIGH,Ghost,FINANCIER
9832109343,"Meena Nair",CRITICAL,Tech Wizard,CALLER
9897025260,"Mohammad Gupta",LOW,Money King,RECRUITER
9876745833,"Amit Singh",MEDIUM,Mastermind,ENFORCER
9848663625,"Imran Yadav",CRITICAL,Tiger,KINGPIN
9881319305,"Meena Sharma",MEDIUM,Fox,HACKER
9866125972,"Zara Mishra",LOW,Tech Wizard,SIM_PROVIDER
9860671843,"Meena Yadav",LOW,Fox,HACKER
9863777020,"Pooja Menon",HIGH,Fox,KINGPIN
9812349697,"Farooq Yadav",CRITICAL,Tech Wizard,HACKER
9824226918,"Kiran Khan",MEDIUM,Tech Wizard,SIM_PROVIDER
9812491423,"Mohammad Yadav",CRITICAL,Money King,ENFORCER
9832399003,"Rahul Verma",LOW,Ghost,CALLER
9841050537,"Kiran Joshi",HIGH,Shadow,HACKER
9875915984,"Mohammad Menon",CRITICAL,The Don,BROKER
9833101108,"Geeta Mishra",MEDIUM,Hawk,CONNECTOR
9865076649,"Imran Menon",LOW,The Don,FINANCIER
9840495932,"Pooja Verma",CRITICAL,Mastermind,MULE
9818352209,"Abdul Nair",LOW,The Don,ENFORCER
9897409534,"Geeta Joshi",HIGH,The Don,KINGPIN
9840232109,"Abdul Patel",HIGH,Tech Wizard,BROKER
9811749100,"Deepak Mishra",HIGH,Leopard,MULE
9874207311,"Pooja Verma",HIGH,Tech Wizard,CONNECTOR
9824309108,"Geeta Patel",CRITICAL,Tech Wizard,ENFORCER
9887560169,"Geeta Nair",HIGH,The Don,ENFORCER
9881878588,"Amit Khan",CRITICAL,Mastermind,CALLER
9841788296,"Geeta Bhat",MEDIUM,Money King,BROKER
9877768393,"Sanjay Nair",HIGH,Tech Wizard,ENFORCER
9837063363,"Amit Singh",HIGH,Money King,CONNECTOR
9864111314,"Vikram Mishra",LOW,Hawk,MULE
9858596191,"Farooq Singh",CRITICAL,Tech Wizard,FINANCIER
9855064597,"Farooq Joshi",HIGH,Hawk,CALLER
9889017992,"Rahul Reddy",MEDIUM,Ghost,SIM_PROVIDER
9831707288,"Rahul Gupta",CRITICAL,Tiger,KINGPIN
9849577375,"Farooq Gupta",HIGH,Hawk,SIM_PROVIDER
