phone,name,reported_loss,complaint_date
9140939618,"Ramesh Dubey",2014728,2024-08-16
9173155556,"Gopal Bansal",408442,2024-01-26
9198628587,"Ramesh Roy",3635494,2024-11-27
9183436809,"Kamla Choudhary",3383528,2024-01-11
9171180337,"Vijay Jain",3391629,2024-08-17
9132683004,"Uma Hegde",37719,2024-07-07
9169683683,"Rita Lal",1596515,2024-11-08
9169601540,"Shyam Choudhary",262069,2024-02-07
9138167143,"Rita Choudhary",3838148,2024-03-01
9138109158,"Ajay Hegde",2407873,2024-02-07
9169566441,"Kamla Lal",2407603,2024-07-31
9114103485,"Vijay Lal",3806388,2024-07-27
9166626269,"Uma Roy",545238,2024-03-23
9196297876,"Gopal Hegde",3059251,2024-04-30
9142616219,"Ajay Lal",3376562,2024-08-20
9134954676,"Rita Kapoor",2791973,2024-01-05
9155068253,"Gopal Hegde",4742006,2024-02-03
9179434374,"Mohan Kapoor",3143377,2024-10-26
9135033415,"Suresh Hegde",1134920,2024-10-21
9158615076,"Vijay Dubey",2884340,2024-09-20
9135373002,"Ajay Pandey",1961511,2024-01-05
9170279531,"Kamla Iyer",3252464,2024-03-03
9127713117,"Ajay Gandhi",3379166,2024-05-21
9170919554,"Shyam Qureshi",1862120,2024-07-27
9143175644,"Lata Gandhi",3218777,2024-07-04
9141767653,"Uma Naidu",1912065,2024-06-27
9161405287,"Kamla Agarwal",3919076,2024-12-06
9197518550,"Ajay Iyer",3479683,2024-12-10
9137687078,"Lata Mukherjee",4206113,2024-03-06
9114423157,"Kamla Dubey",3094197,2024-06-21
9167412727,"Lata Iyer",1357032,2024-05-15
9112317985,"Gopal Pandey",1303095,2024-04-01
9142168795,"Anita Choudhary",1903270,2024-02-17
9169096157,"Lata Jain",4502196,2024-09-24
9196020465,"Kamla Hegde",4809574,2024-04-16
9157802203,"Gopal Naidu",3386536,2024-01-18
9170793887,"Gopal Roy",2443402,2024-04-27
9150848270,"Ramesh Iyer",2403175,2024-05-06
9155515047,"Shyam Kapoor",2701621,2024-03-27
9191489642,"Gopal Kapoor",4937622,2024-08-20
9151682230,"Shyam Choudhary",4370045,2024-11-13
9121884154,"Anita Hegde",2133389,2024-07-23
9182227785,"Ajay Lal",4893994,2024-04-24
9163414553,"Uma Hegde",414447,2024-08-27
9142485360,"Gopal Gandhi",491294,2024-05-12
9161477392,"Sita Lal",4516863,2024-06-01
9168597671,"Ravi Naidu",391449,2024-06-26
9167938055,"Gopal Agarwal",3658409,2024-06-18
9164163877,"Ramesh Choudhary",989165,2024-12-14
9177004422,"Ramesh Dubey",3255489,2024-04-23
9177451914,"Uma Jain",4256690,2024-02-17
9126009007,"Ravi Agarwal",1383539,2024-11-03
9158228440,"Ramesh Jain",126619,2024-03-07
9193410601,"Anita Pandey",206613,2024-09-10
9150845490,"Ravi Naidu",326394,2024-09-05
9131281244,"Anita Agarwal",1827084,2024-09-10
9137652015,"Ajay Lal",4564811,2024-10-20
9128769887,"Gopal Lal",3463940,2024-09-19
9152956526,"Lata Pandey",4801449,2024-04-05
9139203324,"Rita Naidu",595655,2024-02-20
9158123659,"Sita Agarwal",9005,2024-02-16
9178657121,"Uma Gandhi",981366,2024-09-03
9172572311,"Anita Naidu",1438395,2024-01-02
9144592776,"Gopal Gandhi",3112821,2024-08-22
9187656610,"Ramesh Iyer",1476089,2024-02-14
9188923488,"Ravi Hegde",4201643,2024-02-03
9129526140,"Ramesh Hegde",4404396,2024-07-25
9176500360,"Sita Agarwal",4804675,2024-11-08
9183571300,"Uma Pandey",2978289,2024-09-19
9147467246,"Rita Kapoor",2529858,2024-11-08
9135868842,"Ramesh Choudhary",654463,2024-09-15
9122499180,"Uma Kapoor",1887629,2024-07-09
9162849069,"Kamla Qureshi",2950275,2024-06-19
9156688432,"Ajay Bansal",877196,2024-05-20
9125263603,"Ravi Iyer",889565,2024-05-31
9137932591,"Mohan Mukherjee",2756002,2024-02-15
9168795094,"Ajay Naidu",797603,2024-09-18
9178027759,"Sita Naidu",3845126,2024-04-20
9143015532,"Shyam Iyer",1427668,2024-05-31
9175634596,"Uma Jain",3399041,2024-02-05
9137266406,"Uma Iyer",1727448,2024-09-13
9160545084,"Sunil Kapoor",1117636,2024-07-08
9133816616,"Ramesh Choudhary",4587289,2024-01-10
9134895964,"Suresh Hegde",1407273,2024-08-03
9182515821,"Kamla Lal",4279189,2024-12-17
9125602329,"Rita Bansal",993410,2024-07-27
9147703082,"Ramesh Lal",80822,2024-06-12
9117124624,"Sita Naidu",1781007,2024-02-02
9130317853,"Kamla Agarwal",3601781,2024-10-27
9147874307,"Ravi Jain",2353549,2024-08-02
9167676743,"Sunil Mukherjee",741383,2024-11-05
9136616564,"Gopal Mukherjee",2588591,2024-03-17
9136097956,"Ramesh Hegde",1830537,2024-01-07
9134571262,"Rita Agarwal",3599240,2024-06-10
9172493031,"Anita Hegde",149139,2024-10-18
9136277506,"Sunil Mukherjee",4291578,2024-04-06
9141956858,"Vijay Qureshi",423466,2024-11-15
9157824922,"Ravi Naidu",1944670,2024-03-08
9167135900,"Sita Mukherjee",3327491,2024-04-06
9197058341,"Ramesh Lal",4025923,2024-08-06
9181402167,"Kamla Qureshi",2037533,2024-05-23
9117353550,"Ravi Iyer",4177780,2024-02-16
9110484704,"Anita Kapoor",1743155,2024-11-21
9182412056,"Sunil Iyer",3409287,2023-12-31
9150135796,"Ajay Gandhi",90630,2024-12-08
9176729852,"Lata Agarwal",2307232,2024-04-10
9114034934,"Ramesh Bansal",1148476,2024-03-14
9157025477,"Sunil Naidu",3205545,2024-03-04
9133742789,"Rita Dubey",79876,2024-06-05
9126814954,"Ajay Dubey",809650,2024-08-13
9152711052,"Suresh Pandey",1395885,2024-06-21
9169880091,"Sita Naidu",2792609,2024-06-15
9155704503,"Anita Lal",3051554,2024-06-30
9137922780,"Ravi Gandhi",710399,2024-05-05
9154104700,"Lata Naidu",1824670,2024-12-02
9112945976,"Suresh Dubey",1117376,2024-12-21
9114713641,"Mohan Gandhi",3491128,2024-11-13
9179455849,"Lata Qureshi",4289029,2024-10-21
9180442477,"Rita Roy",2997173,2024-09-22
9127478511,"Lata Gandhi",1521222,2024-10-14
9199349185,"Vijay Choudhary",4604966,2024-12-07
9161913384,"Vijay Bansal",1075832,2024-01-01
9191736982,"Sunil Jain",2851498,2024-07-12
9153340963,"Ajay Naidu",3966682,2024-09-06
9177600446,"Uma Dubey",1540509,2024-02-26
9161119029,"Ramesh Dubey",3023413,2024-01-10
9156533460,"Uma Naidu",2512938,2024-03-18
9197772118,"Suresh Choudhary",2498698,2024-08-19
9190007955,"Lata Bansal",4542025,2024-04-15
9113706477,"Gopal Naidu",4897742,2024-09-23
9189936164,"Anita Gandhi",3060196,2024-09-12
9121083787,"Sunil Pandey",2705466,2024-05-25
9157423110,"Gopal Lal",4028160,2024-03-04
9196071013,"Suresh Choudhary",4927697,2024-07-22
9182284497,"Lata Lal",1752262,2024-07-22
9163846684,"Sunil Mukherjee",3893650,2024-10-12
9199288896,"Ravi Iyer",2568181,2024-08-06
9180441860,"Vijay Lal",4717408,2024-06-07
9160437875,"Ravi Qureshi",3341963,2024-11-13
9151168333,"Lata Lal",2660975,2024-07-24
9140385900,"Uma Qureshi",4637256,2024-12-13
9112448336,"Mohan Iyer",4415664,2024-06-16
9125424093,"Gopal Naidu",1557488,2024-11-18
9150884633,"Ravi Lal",3186109,2024-06-27
9122213885,"Ravi Jain",4375847,2024-11-24
9197699509,"Ramesh Pandey",1221099,2024-01-16
9139508867,"Mohan Kapoor",1859239,2024-01-13
9181985948,"Sita Jain",2833099,2024-07-16
9181628496,"Ajay Pandey",4324249,2024-11-07
9131402897,"Suresh Hegde",4123167,2024-07-21
9128096386,"Uma Iyer",288376,2024-11-01
9119415205,"Sunil Roy",3684976,2024-12-23
9164609117,"Kamla Dubey",2342826,2024-08-03
9126020948,"Gopal Bansal",2494663,2024-04-25
9179292685,"Shyam Hegde",2149731,2024-09-18
9173978180,"Uma Naidu",2804857,2024-12-22
9199235642,"Uma Dubey",2549258,2024-03-17
9120948434,"Anita Dubey",1270184,2024-06-03
9183994471,"Kamla Qureshi",291546,2024-03-20
9159606802,"Ramesh Hegde",1270036,2024-12-24
9172544131,"Vijay Choudhary",1644143,2024-04-02
9179287902,"Mohan Agarwal",3916020,2024-03-20
9134952545,"Mohan Bansal",1943528,2024-06-22
9139493376,"Ravi Hegde",2306984,2024-05-12
9188914718,"Vijay Agarwal",324108,2024-09-17
9190236329,"Suresh Gandhi",4757419,2024-09-26
9146257309,"Ramesh Lal",3109830,2024-07-31
9136155538,"Sita Qureshi",3261382,2024-04-05
9120184190,"Anita Choudhary",1453164,2024-10-23
9165328345,"Ajay Agarwal",4245692,2024-02-27
9114536225,"Sunil Kapoor",456210,2024-12-19
9123477707,"Sita Pandey",2397707,2024-02-01
9188096839,"Uma Kapoor",773198,2024-01-15
9133249267,"Ravi Bansal",2247894,2024-11-30
9118496969,"Uma Hegde",2073612,2024-01-10
9128406727,"Rita Lal",1333356,2024-04-12
9176682994,"Vijay Bansal",4964904,2024-06-06
9140489732,"Anita Qureshi",3757162,2024-12-20
9140765732,"Anita Lal",1366036,2024-05-09
9195396030,"Rita Pandey",2327035,2024-07-06
9163230285,"Anita Lal",4123915,2024-08-05
9133448996,"Lata Lal",2809426,2024-01-12
9187273344,"Kamla Bansal",1767945,2024-04-03
9159912120,"Mohan Choudhary",2976697,2024-04-01
9157615002,"Ravi Dubey",2329599,2024-11-02
9128044442,"Mohan Choudhary",1822949,2024-01-20
9184249397,"Uma Hegde",3087936,2024-11-09
9178897392,"Rita Agarwal",3800962,2024-01-08
9162813530,"Ajay Roy",2572287,2024-07-15
9125879869,"Kamla Choudhary",2413535,2024-09-01
9175917433,"Ajay Qureshi",1156771,2024-03-06
9113864345,"Ravi Agarwal",254025,2024-11-22
9114455280,"Sita Iyer",2032849,2024-10-07
9113183530,"Suresh Qureshi",4364000,2024-10-20
9187041761,"Anita Mukherjee",1753736,2024-02-10
9173848354,"Kamla Naidu",4021358,2024-02-14
9148238073,"Rita Roy",4115014,2024-07-04
9193722035,"Kamla Mukherjee",3468861,2024-05-04
9189417135,"Gopal Jain",2031823,2024-12-04
9150257968,"Kamla Roy",2789135,2024-06-12
9164936452,"Ravi Mukherjee",186163,2024-07-27
9183237037,"Mohan Gandhi",3718933,2024-10-10
9197292281,"Rita Iyer",2589335,2024-12-21
9115408880,"Gopal Jain",2720348,2024-12-07
9130537037,"Anita Iyer",4800785,2024-11-12
9170688713,"Sunil Mukherjee",2906495,2024-03-24
9133318036,"Sunil Bansal",2581225,2024-02-16
9113702894,"Suresh Pandey",2014777,2024-10-02
9122044555,"Suresh Lal",3668603,2024-08-07
9170750524,"Mohan Roy",4533467,2024-08-24
9199728654,"Vijay Lal",4581500,2024-04-23
9162985977,"Shyam Jain",4718978,2024-08-21
9170456615,"Sunil Jain",3216519,2024-09-21
9131085073,"Uma Bansal",530929,2024-11-20
9146058213,"Mohan Naidu",855338,2024-09-27
9119627352,"Shyam Dubey",2213858,2024-06-27
9151229811,"Rita Bansal",4208004,2024-06-22
9193240825,"Ajay Gandhi",1124256,2024-03-26
9151661043,"Shyam Qureshi",1082202,2024-10-22
9126334375,"Gopal Dubey",3745822,2024-10-19
9178386091,"Ravi Pandey",307993,2024-03-12
9188570484,"Ramesh Qureshi",4225680,2024-04-09
9127243440,"Ramesh Jain",3373280,2024-10-15
9121591117,"Uma Dubey",2030910,2024-06-09
9195317998,"Ramesh Agarwal",152588,2024-10-06
9184609304,"Vijay Bansal",1913596,2024-02-03
9149408425,"Ravi Agarwal",1998752,2024-02-11
9169804193,"Anita Hegde",3322988,2024-03-15
9163959716,"Anita Agarwal",4301702,2024-02-04
9168491646,"Vijay Choudhary",577701,2024-09-14
9134418803,"Gopal Qureshi",616099,2024-03-18
9118198875,"Suresh Lal",780531,2024-08-13
9148734076,"Suresh Naidu",4681597,2024-10-09
9125065739,"Ravi Mukherjee",2239789,2024-09-30
9157358619,"Suresh Bansal",4665255,2024-02-27
9165070785,"Uma Pandey",4445874,2024-08-31
9132123059,"Suresh Kapoor",4101560,2024-08-17
9145247202,"Kamla Lal",1077131,2024-06-22
9147315619,"Suresh Qureshi",4200475,2024-08-20
9140163215,"Shyam Mukherjee",4600593,2024-08-17
9141997116,"Ramesh Roy",650452,2024-03-16
9184759843,"Ravi Mukherjee",4393236,2024-07-06
9120996592,"Shyam Choudhary",4035697,2024-08-26
9159403552,"Sunil Gandhi",1904813,2024-07-11
9195790982,"Shyam Qureshi",4607085,2024-12-22
9118008723,"Anita Qureshi",963133,2024-01-11
9127369603,"Gopal Qureshi",2475771,2024-09-10
9135520601,"Suresh Bansal",715502,2024-06-07
9187039126,"Sita Iyer",294040,2024-09-10
9190835374,"Sunil Naidu",39353,2024-03-03
9143649205,"Ajay Agarwal",2906312,2024-12-17
9138663448,"Suresh Jain",1786968,2024-03-18
9163944781,"Gopal Kapoor",4752841,2024-04-25
9143532904,"Anita Iyer",4646234,2024-12-04
9123334333,"Uma Iyer",2202157,2024-05-20
9166098739,"Kamla Naidu",3548422,2024-05-17
9195986750,"Anita Roy",2886176,2024-10-21
9147795516,"Anita Bansal",4073920,2024-10-21
9113948136,"Shyam Kapoor",4484862,2024-12-18
9126079343,"Anita Choudhary",1366823,2024-09-21
9110996402,"Shyam Kapoor",4920844,2024-12-19
9190478883,"Vijay Dubey",1240184,2024-11-11
9176634088,"Vijay Dubey",1338363,2024-07-11
9199410676,"Lata Pandey",4584058,2024-05-09
9118291825,"Gopal Roy",2320006,2024-07-10
9174033259,"Vijay Gandhi",792434,2024-08-21
9165872259,"Lata Pandey",3786795,2024-02-10
9182070116,"Vijay Naidu",289840,2024-11-09
9166593303,"Gopal Mukherjee",1015864,2024-04-26
9123071365,"Sita Lal",3148424,2024-10-31
9112863718,"Rita Pandey",644648,2024-04-17
9119688759,"Uma Jain",3338164,2024-01-10
9157843290,"Sita Mukherjee",993135,2024-12-26
9158743619,"Ravi Jain",1887461,2024-07-15
9168679294,"Kamla Kapoor",830341,2024-10-22
9113151499,"Suresh Roy",2852873,2024-08-07
9139415664,"Sita Gandhi",4228177,2024-05-15
9185139006,"Gopal Choudhary",3259109,2024-04-06
9169252548,"Ajay Jain",3848261,2024-11-10
9153879273,"Anita Mukherjee",3378199,2024-11-05
9133448081,"Sunil Pandey",1077939,2024-01-26
9142812875,"Lata Iyer",358424,2024-02-02
9175002281,"Vijay Roy",1979851,2024-05-02
9123061943,"Shyam Roy",3779528,2024-02-04
9191296530,"Ravi Gandhi",1075653,2024-08-15
9119052068,"Sunil Naidu",2230385,2024-12-15
9146956775,"Gopal Roy",2041934,2024-04-20
9136902992,"Sunil Lal",2757215,2024-07-15
9199438086,"Suresh Qureshi",2324462,2024-12-11
9119460693,"Lata Bansal",1160436,2024-10-19
9189492946,"Vijay Gandhi",2508005,2024-10-20
9151756985,"Ravi Gandhi",3880459,2024-06-21
9181993466,"Ajay Agarwal",3499015,2024-03-25
9115668310,"Uma Qureshi",4108142,2024-07-17
9167711585,"Sita Dubey",1394000,2024-04-10
9115542356,"Ajay Lal",3335442,2024-08-25
9158433450,"Ravi Bansal",3669845,2024-12-14
9173274735,"Mohan Mukherjee",1513533,2024-01-21
9111387108,"Sita Naidu",4416315,2024-08-08
9123167305,"Shyam Hegde",750002,2024-09-04
9162262092,"Rita Choudhary",2168595,2024-10-11
9136693128,"Gopal Naidu",1165615,2024-10-27
9178657329,"Ajay Lal",3243534,2024-01-22
9119934750,"Ravi Gandhi",541504,2024-09-08
9117058779,"Mohan Choudhary",1965365,2024-03-13
9164368203,"Shyam Roy",1025190,2024-06-02
9155712039,"Rita Choudhary",4085854,2024-03-08
9197648814,"Uma Bansal",4986130,2024-09-23
9195350204,"Sita Choudhary",1487649,2024-04-17
9176126370,"Rita Naidu",663928,2024-04-14
9182255032,"Anita Roy",816630,2024-10-14
9110703643,"Lata Lal",3314529,2024-12-23
9151683849,"Suresh Hegde",3217224,2024-09-11
9131604881,"Ramesh Roy",1451557,2024-08-16
9184991440,"Anita Pandey",4895195,2024-08-01
9122865620,"Mohan Naidu",252010,2024-08-26
9160334558,"Kamla Agarwal",4863462,2024-01-20
9144099243,"Lata Jain",4458221,2024-08-03
9161510270,"Mohan Gandhi",2701210,2024-04-10
9199510227,"Kamla Qureshi",469010,2024-12-20
9122024390,"Uma Qureshi",9550,2024-10-18
9177801047,"Suresh Lal",2836613,2024-04-22
9147632560,"Sita Roy",3493586,2024-05-03
9170011174,"Mohan Roy",1127490,2024-01-23
9140389562,"Uma Dubey",706594,2024-02-07
9130864961,"Rita Jain",2695419,2024-03-09
9129686881,"Shyam Agarwal",3644698,2024-07-01
9179102869,"Anita Pandey",3378731,2024-10-13
9138329029,"Ajay Choudhary",259606,2024-09-21
9185218331,"Lata Dubey",2359891,2024-06-16
9121027075,"Sita Dubey",3345993,2024-01-06
9182845974,"Anita Naidu",3544551,2024-01-13
9112267919,"Suresh Bansal",2309979,2024-10-31
9132244287,"Ravi Agarwal",1015659,2024-02-07
9145686139,"Sunil Qureshi",413479,2024-05-26
9137120318,"Vijay Mukherjee",3715278,2024-07-21
9187105007,"Mohan Agarwal",4131339,2024-12-12
9176370159,"Gopal Bansal",629541,2024-10-08
9149264523,"Ajay Hegde",4646514,2024-09-22
9115581799,"Kamla Bansal",2526498,2024-05-02
9161398987,"Vijay Iyer",4826676,2024-10-16
9116171637,"Ramesh Lal",2493764,2024-02-17
9183667014,"Vijay Hegde",3312762,2024-09-12
9187760491,"Ramesh Pandey",3324523,2024-05-20
9134267324,"Sunil Mukherjee",2138324,2024-11-17
9165941523,"Sita Jain",562301,2024-06-13
9188337474,"Sunil Dubey",64077,2024-06-08
9186325990,"Lata Gandhi",3509673,2024-09-30
9187278723,"Ramesh Roy",977845,2024-12-18
9191485329,"Gopal Agarwal",4968079,2024-10-10
9125876248,"Gopal Mukherjee",1409723,2024-07-25
9125342163,"Gopal Lal",2091514,2024-12-02
9141699727,"Shyam Naidu",4764748,2024-05-27
9147369659,"Vijay Jain",198073,2024-01-17
9193083015,"Uma Mukherjee",3304558,2024-11-10
9151617197,"Ravi Bansal",1431496,2024-03-08
9147233321,"Sunil Mukherjee",2956565,2024-03-13
9194834802,"Uma Gandhi",3980787,2024-06-15
9123580794,"Anita Qureshi",4947218,2024-11-05
9158809663,"Suresh Dubey",4629240,2024-04-18
9112314949,"Lata Lal",4459949,2024-11-07
9120098320,"Uma Qureshi",4916944,2024-10-07
9128211670,"Anita Qureshi",2476266,2024-06-11
9112997852,"Sunil Jain",970368,2024-09-01
9137157676,"Rita Roy",35423,2024-07-23
9171993498,"Uma Gandhi",4810977,2024-01-09
9148848302,"Suresh Naidu",2996442,2024-05-05
9124366193,"Lata Gandhi",4276076,2024-07-27
9121835250,"Sunil Iyer",2317072,2024-06-13
9138799031,"Kamla Pandey",849884,2024-12-20
9139995691,"Lata Pandey",3312993,2024-02-27
9133508474,"Lata Agarwal",4199517,2024-03-15
9138537480,"Sita Hegde",1773317,2024-05-04
9120333396,"Kamla Mukherjee",3701115,2024-12-23
9152429750,"Kamla Lal",2764754,2024-10-07
9197603054,"Uma Hegde",1617391,2024-09-16
9148397938,"Shyam Choudhary",2821342,2024-05-18
9134926600,"Ramesh Roy",2311651,2024-01-20
9166891660,"Lata Roy",765319,2024-05-21
9134317796,"Sita Bansal",191045,2024-09-01
9186938097,"Sita Hegde",2805580,2024-10-03
9146836769,"Suresh Agarwal",719573,2024-11-20
9133068264,"Uma Hegde",1606131,2024-09-15
9191120459,"Ramesh Dubey",3146530,2024-11-19
9193264260,"Ravi Dubey",1442731,2024-08-11
9126457368,"Ravi Agarwal",4366238,2024-11-18
9144917953,"Kamla Dubey",4155339,2024-08-02
9120564294,"Sunil Hegde",1830879,2024-01-04
9199029864,"Uma Naidu",2632640,2024-11-03
9196289874,"Shyam Mukherjee",4167853,2024-09-26
9147947455,"Mohan Jain",4985233,2024-03-07
9150249990,"Ajay Pandey",2825394,2024-09-20
9188673405,"Shyam Qureshi",120349,2024-06-05
9124099786,"Sunil Lal",1471789,2024-12-05
9152833554,"Kamla Hegde",4718358,2024-07-26
9168164687,"Ajay Gandhi",392814,2024-01-16
9124552332,"Lata Qureshi",14466,2024-03-17
9159022360,"Sita Pandey",4177478,2024-06-16
9163848451,"Kamla Iyer",2072962,2024-01-25
9173256341,"Vijay Roy",455046,2024-01-23
9176709922,"Gopal Qureshi",3519734,2024-09-05
9132198774,"Kamla Roy",2852068,2024-11-01
9184028765,"Sita Agarwal",3710862,2024-01-31
9134609260,"Ramesh Qureshi",1129909,2024-04-01
9151381852,"Shyam Dubey",4042472,2024-04-07
9129668640,"Ravi Iyer",4081737,2024-07-14
9177132330,"Kamla Roy",4932747,2024-01-07
9120188052,"Vijay Naidu",3538128,2024-03-08
9124212793,"Rita Roy",3278319,2024-10-19
9196685181,"Lata Bansal",2498912,2024-04-10
9156113381,"Lata Dubey",386317,2024-09-14
9163721531,"Mohan Bansal",2272049,2024-09-24
9129873444,"Shyam Bansal",2944432,2024-01-12
9159831106,"Uma Qureshi",3933697,2024-03-10
9162406898,"Mohan Naidu",381381,2024-01-08
9150703639,"Sita Naidu",4027139,2024-09-20
9193593178,"Uma Roy",3073330,2024-08-24
9159485123,"Lata Pandey",3398230,2024-12-26
9164244068,"Ramesh Qureshi",592207,2024-02-19
9160329722,"Vijay Mukherjee",61808,2024-02-25
9197214217,"Ravi Mukherjee",470082,2024-09-24
9128490885,"Kamla Qureshi",4030076,2024-10-07
9124941895,"Ravi Choudhary",2932386,2024-05-04
