from_phone,to_phone,amount,timestamp,type,suspicious_score
9814696173,9151642774,658373,2024-01-21T23:44:00.000Z,CARD,0.11
9857760705,9198698339,876221,2024-09-14T19:25:00.000Z,WALLET,0.14
9868041278,9119363211,889753,2024-07-12T21:13:00.000Z,RTGS,0.53
9899204659,9175599266,205414,2024-07-09T04:13:00.000Z,CARD,0.45
9860877943,9144642987,986112,2024-08-20T03:25:00.000Z,WALLET,0.89
9825456459,9115895729,775457,2024-12-09T08:48:00.000Z,IMPS,0.99
9814554804,9179097386,767618,2024-02-09T17:39:00.000Z,CARD,0.75
9887898880,9110265872,895121,2024-10-17T15:33:00.000Z,NEFT,0.42
9855809231,9181628468,26764,2024-06-02T16:37:00.000Z,IMPS,0.58
9825295123,9199720334,730286,2024-10-13T15:28:00.000Z,UPI,0.21
9841527408,9192109515,643574,2024-10-20T12:50:00.000Z,UPI,0.72
9872951788,9166872150,341996,2024-06-20T12:58:00.000Z,RTGS,0.17
9857146628,9121767221,530943,2024-01-13T12:11:00.000Z,WALLET,0.96
9890513882,9135494357,211898,2024-02-16T12:29:00.000Z,RTGS,0.54
9822113220,9176401861,96578,2024-02-02T08:28:00.000Z,IMPS,0.39
9838938023,9133685519,971643,2024-09-25T13:22:00.000Z,UPI,0.26
9895977884,9140456503,521992,2024-06-22T18:15:00.000Z,UPI,0.89
9826972899,9110725996,843867,2024-05-11T22:17:00.000Z,CARD,0.59
9817896020,9119481883,508685,2024-12-09T06:42:00.000Z,IMPS,0.52
9813963682,9147851235,47189,2024-04-07T09:43:00.000Z,NEFT,0.43
9833471250,9167916719,192727,2024-06-09T03:30:00.000Z,CARD,0.09
9865353524,9124421086,696902,2024-02-28T13:19:00.000Z,NEFT,0.33
9849213692,9189861301,9305,2024-11-09T03:12:00.000Z,CARD,0.46
9835760899,9119739370,917546,2024-08-04T10:50:00.000Z,WALLET,0.29
9811337090,9126729371,247694,2024-09-02T10:57:00.000Z,IMPS,0.68
9814493996,9180157086,642588,2024-04-03T14:24:00.000Z,IMPS,0.29
9878306142,9132894969,796837,2024-11-16T19:32:00.000Z,WALLET,0.23
9866103856,9165079025,981013,2024-06-23T07:04:00.000Z,UPI,0.12
9859554514,9158312679,768796,2024-02-13T04:59:00.000Z,WALLET,0.15
9871416655,9132362753,959450,2024-05-16T12:34:00.000Z,RTGS,0.12
9858932032,9128927186,390036,2024-04-07T00:48:00.000Z,WALLET,0.13
9816655225,9132492522,344148,2024-07-18T18:56:00.000Z,WALLET,0.63
9814788198,9166739922,844561,2024-09-21T23:07:00.000Z,WALLET,0.98
9817105913,9163087562,786303,2024-02-18T11:05:00.000Z,UPI,0.93
9868054786,9114312244,700418,2024-05-13T11:57:00.000Z,NEFT,0.23
9831669730,9133913537,79370,2024-03-19T22:08:00.000Z,RTGS,0.88
9881461898,9199517007,545425,2024-07-13T22:29:00.000Z,WALLET,0.65
9858519959,9119399524,161420,2024-06-12T18:10:00.000Z,CARD,0.94
9838142782,9149561078,41622,2024-09-19T06:39:00.000Z,IMPS,0.5
9816597215,9124866715,807312,2024-05-15T02:01:00.000Z,WALLET,0.87
9844125059,9147006715,449162,2024-10-10T03:04:00.000Z,IMPS,0.08
9892879736,9193486492,684270,2024-02-21T01:58:00.000Z,IMPS,0.61
9867148500,9116610778,166852,2024-10-14T02:30:00.000Z,UPI,0.95
9824629711,9191352903,841594,2024-12-28T17:07:00.000Z,RTGS,0.18
9812802840,9172066569,584311,2024-08-01T02:33:00.000Z,IMPS,0.57
9820621814,9145664549,800783,2024-06-03T16:37:00.000Z,UPI,0.04
9860037560,9114777159,407278,2024-02-21T01:54:00.000Z,UPI,0.41
9837887540,9126195736,161437,2024-04-03T02:44:00.000Z,NEFT,0.37
9839905268,9189916787,343855,2024-12-01T07:15:00.000Z,IMPS,0.45
9864978146,9172302076,729437,2024-08-19T03:49:00.000Z,IMPS,0.22
9842430053,9135109812,862863,2024-07-07T14:12:00.000Z,UPI,0.16
9820232950,9125226987,203134,2024-09-26T04:57:00.000Z,IMPS,0.74
9814559817,9133770229,542372,2024-04-21T08:12:00.000Z,IMPS,0.76
9835764332,9198120623,579463,2024-07-12T01:41:00.000Z,IMPS,0.06
9855130601,9152428962,981628,2024-11-04T16:48:00.000Z,NEFT,0.28
9870333339,9138812026,290041,2024-04-21T21:27:00.000Z,NEFT,0.3
9852292142,9146683482,270795,2024-05-08T06:37:00.000Z,RTGS,0.66
9880177486,9157513389,46558,2024-05-15T00:46:00.000Z,RTGS,0.42
9869040092,9192600859,660595,2024-04-18T10:35:00.000Z,NEFT,0.08
9899411371,9171907941,68283,2024-05-12T15:22:00.000Z,RTGS,0.67
9837638130,9168464241,815802,2024-01-22T15:01:00.000Z,RTGS,0.78
9845686340,9154596475,84042,2024-06-05T06:01:00.000Z,WALLET,0.86
9859211186,9182160559,813899,2024-11-24T08:20:00.000Z,WALLET,0.19
9816203197,9185878533,880972,2024-05-04T06:39:00.000Z,CARD,0.08
9839953371,9194616148,558981,2024-07-18T06:06:00.000Z,IMPS,0.12
9895590057,9135268540,940246,2024-03-06T05:35:00.000Z,IMPS,0.36
9827165837,9173969224,214003,2024-01-05T01:55:00.000Z,UPI,0.15
9815954731,9147375084,608467,2024-12-22T02:39:00.000Z,CARD,0.21
9872425662,9170414120,731267,2024-10-03T11:19:00.000Z,RTGS,0.81
9884737764,9179902442,83137,2024-08-01T01:53:00.000Z,IMPS,0.59
9818990774,9159322176,844622,2024-12-15T18:12:00.000Z,WALLET,0.7
9843949184,9185195257,910303,2024-03-19T16:16:00.000Z,NEFT,0.31
9867377276,9182164986,813085,2024-06-05T08:55:00.000Z,WALLET,0.59
9868117456,9195605058,171187,2024-01-05T20:34:00.000Z,RTGS,0.46
9847150907,9154035138,728139,2024-04-15T16:35:00.000Z,RTGS,1
9858502460,9181048334,529201,2024-01-24T08:40:00.000Z,WALLET,0.93
9821123820,9180055010,686021,2024-06-01T12:22:00.000Z,WALLET,0.84
9880936185,9150119789,547810,2024-03-14T14:45:00.000Z,WALLET,0.91
9879517853,9198256862,752037,2024-10-06T05:45:00.000Z,WALLET,0.09
9890520421,9189005250,151423,2024-11-17T03:38:00.000Z,NEFT,0.85
9855145762,9120091707,421633,2024-03-03T04:33:00.000Z,IMPS,0.01
9854995226,9130276172,51640,2024-02-15T01:54:00.000Z,IMPS,0.37
9874455827,9169533208,639021,2024-08-19T13:49:00.000Z,IMPS,0.79
9837207329,9147131352,189544,2024-04-21T12:14:00.000Z,UPI,0.21
9834943431,9128626732,34662,2024-08-22T12:53:00.000Z,CARD,0.95
9821215699,9154639527,82763,2023-12-31T21:13:00.000Z,IMPS,0.78
9892065397,9134796082,764610,2024-09-28T01:28:00.000Z,RTGS,0.37
9863566689,9140407683,185832,2024-01-26T02:27:00.000Z,IMPS,0.34
9892633332,9134195702,251355,2024-01-11T02:05:00.000Z,NEFT,0.95
9844779096,9126779682,393621,2024-02-25T12:43:00.000Z,RTGS,0.67
9858733577,9187389422,620776,2024-11-12T03:34:00.000Z,WALLET,0.88
9880593762,9133283027,199125,2024-07-02T12:25:00.000Z,IMPS,0.19
9850241644,9154481272,527649,2024-02-08T10:06:00.000Z,UPI,0.57
9834361526,9182034253,3248,2024-03-14T16:39:00.000Z,RTGS,0.81
9850619504,9178999434,777124,2024-11-19T07:15:00.000Z,UPI,0.26
9846537544,9198772093,83236,2024-03-19T00:43:00.000Z,NEFT,0.95
9879559818,9177643326,689694,2024-10-20T23:24:00.000Z,CARD,0.49
9841602020,9164581502,375042,2024-12-15T18:06:00.000Z,IMPS,0.44
9865028755,9124295538,616255,2024-07-05T15:26:00.000Z,NEFT,0.57
9859474527,9197214632,113173,2024-11-24T20:10:00.000Z,UPI,0.72
9843218877,9137478465,230502,2024-08-13T03:40:00.000Z,NEFT,0.35
9887675515,9177245804,274211,2024-06-05T02:48:00.000Z,RTGS,0.34
9822924330,9176757797,737101,2024-05-16T13:00:00.000Z,WALLET,0.66
9899705278,9168595623,309220,2024-03-09T00:44:00.000Z,RTGS,0.12
9890434432,9198813122,807306,2024-12-15T15:02:00.000Z,UPI,0.11
9819019827,9180873594,88500,2024-01-15T11:48:00.000Z,NEFT,0.41
9862886786,9154479968,503787,2024-05-26T06:43:00.000Z,CARD,0.88
9846664482,9127023505,665665,2024-02-13T19:54:00.000Z,UPI,0.1
9821636659,9152595069,265804,2024-04-15T23:18:00.000Z,NEFT,0.77
9892207007,9161469603,363575,2024-07-20T04:02:00.000Z,CARD,0.05
9817523509,9128914639,269856,2024-11-06T14:56:00.000Z,IMPS,0.68
9865104830,9177483022,740499,2024-10-05T15:25:00.000Z,NEFT,0.29
9896357786,9165711213,35618,2024-11-03T23:15:00.000Z,WALLET,0.72
9875247843,9144615885,554735,2024-03-04T09:06:00.000Z,UPI,0.78
9840082911,9174399099,909147,2024-01-16T11:42:00.000Z,WALLET,0.29
9882717092,9162280846,768449,2024-05-26T13:53:00.000Z,NEFT,0.74
9882329630,9155535454,448326,2024-02-01T02:11:00.000Z,CARD,0.66
9886767714,9166477020,561921,2024-02-02T14:01:00.000Z,UPI,0.36
9895608458,9177941077,65102,2024-07-07T20:10:00.000Z,NEFT,0.9
9884257379,9125304869,596864,2024-12-12T07:12:00.000Z,CARD,0.7
9839905429,9119509010,428909,2024-04-09T18:15:00.000Z,IMPS,0.89
9860879692,9175917119,844020,2024-07-10T14:16:00.000Z,CARD,0.24
9833230789,9158843175,468211,2024-06-30T22:33:00.000Z,CARD,0.17
9896082281,9145709479,373580,2024-08-03T08:15:00.000Z,WALLET,0.04
9882896448,9177072750,148049,2024-01-06T14:07:00.000Z,UPI,0.56
9870436587,9123168627,572467,2024-02-24T14:03:00.000Z,WALLET,0.33
9895029484,9117127892,2793,2024-12-02T00:02:00.000Z,IMPS,0.94
9834072824,9150227897,12117,2024-04-09T09:17:00.000Z,RTGS,0.22
9851663738,9156105464,74359,2024-02-23T16:16:00.000Z,RTGS,0.26
9821493069,9193479963,677362,2024-04-04T09:48:00.000Z,RTGS,0.57
9862939999,9141468302,843869,2024-05-24T12:20:00.000Z,RTGS,0.69
9877480094,9127581775,794003,2024-10-21T09:15:00.000Z,RTGS,0.02
9837115199,9184481378,293261,2024-09-15T14:13:00.000Z,IMPS,1
9849413484,9115584010,386601,2024-06-21T15:20:00.000Z,UPI,0.42
9825886844,9175880310,433301,2024-08-23T04:05:00.000Z,UPI,0.73
9834645144,9194588997,406351,2024-03-18T03:07:00.000Z,CARD,0.82
9892770832,9121958168,138935,2024-05-22T11:31:00.000Z,IMPS,0.14
9885028838,9135343514,124735,2024-12-26T19:57:00.000Z,WALLET,0.62
9813356648,9182534638,486011,2024-03-08T21:06:00.000Z,WALLET,0.28
9817948403,9178831144,860364,2024-01-12T19:21:00.000Z,RTGS,0.27
9831526368,9142453550,128728,2024-07-02T16:09:00.000Z,IMPS,0.42
9856059639,9146983955,332282,2024-10-19T12:31:00.000Z,UPI,0
9850127331,9148996659,156401,2024-07-20T01:00:00.000Z,NEFT,0.73
9839391912,9149150268,628603,2024-01-22T08:36:00.000Z,NEFT,0.3
9831947532,9199379911,743252,2024-05-07T00:55:00.000Z,WALLET,0.39
9894737336,9132977152,911988,2024-11-09T12:43:00.000Z,IMPS,0.54
9849921629,9181077049,427555,2024-04-28T11:00:00.000Z,CARD,0.72
9843234769,9159653025,524173,2024-01-24T00:30:00.000Z,WALLET,0.45
9861487526,9133791587,877165,2024-07-12T23:03:00.000Z,IMPS,0.73
9866913937,9114152789,11556,2024-06-13T05:20:00.000Z,UPI,0.24
9893136890,9118875212,677247,2024-07-16T01:38:00.000Z,UPI,0.76
9870386645,9191393312,627706,2024-03-31T21:43:00.000Z,IMPS,0.91
9842543894,9115009784,707683,2024-06-20T15:04:00.000Z,RTGS,0.79
9856950317,9171493416,97699,2024-10-09T06:27:00.000Z,UPI,0.62
9873425608,9186566327,307752,2024-06-19T05:19:00.000Z,NEFT,0.61
9835907648,9166908648,791127,2024-06-21T09:07:00.000Z,NEFT,0.15
9816103141,9197330084,519536,2024-11-19T03:39:00.000Z,CARD,0.77
9813564099,9121673166,972220,2024-09-22T14:18:00.000Z,WALLET,0.02
9888077134,9146707346,360445,2024-01-20T18:04:00.000Z,IMPS,0.15
9838489963,9167826085,307963,2024-05-04T23:56:00.000Z,IMPS,0.79
9857776924,9156618732,454503,2024-04-12T15:40:00.000Z,CARD,0.13
9857601982,9142542941,535243,2024-04-28T18:13:00.000Z,IMPS,0.95
9828199965,9173253907,149337,2024-10-09T20:03:00.000Z,RTGS,0.13
9878218287,9183919236,921094,2024-11-08T20:29:00.000Z,NEFT,0.18
9898164198,9173700032,517735,2024-05-18T00:25:00.000Z,NEFT,0.25
9826883071,9115367245,102876,2024-08-23T12:18:00.000Z,CARD,0.98
9843533120,9124433820,124646,2024-04-10T16:46:00.000Z,RTGS,0.46
9815213579,9145888022,371923,2024-04-10T06:58:00.000Z,WALLET,0.92
9844781302,9157393260,149707,2024-03-02T05:54:00.000Z,UPI,0.31
9869136120,9168240405,390888,2024-04-23T10:15:00.000Z,NEFT,0.84
9888036117,9188499758,897263,2024-10-03T09:55:00.000Z,RTGS,0.31
9856665356,9128989448,909046,2024-11-28T08:19:00.000Z,UPI,0.17
9859284536,9184694472,168657,2024-01-14T22:05:00.000Z,WALLET,0.82
9872275547,9133258015,960126,2024-11-23T13:54:00.000Z,WALLET,0.57
9826074633,9170387887,929647,2024-07-10T10:29:00.000Z,RTGS,0.54
9887985697,9152091478,776535,2024-10-19T21:59:00.000Z,NEFT,0.16
9899928824,9164105462,173190,2024-04-04T19:10:00.000Z,RTGS,0.23
9853693923,9125155687,150285,2024-03-09T02:18:00.000Z,NEFT,0.29
9888898375,9116072915,421236,2024-01-23T15:03:00.000Z,IMPS,0.33
9813872822,9197901768,182618,2024-08-07T06:10:00.000Z,WALLET,0.41
9879186631,9183455335,502015,2024-02-08T06:37:00.000Z,CARD,0.44
9864759079,9186663061,646656,2024-07-05T01:45:00.000Z,IMPS,0.78
9814863967,9159259104,558700,2024-08-24T02:05:00.000Z,CARD,0.5
9810886379,9116200873,1240,2024-02-16T17:37:00.000Z,WALLET,0.85
9817597662,9129268485,646660,2024-03-22T00:12:00.000Z,WALLET,0.71
9883066096,9180958587,905934,2024-11-14T14:58:00.000Z,NEFT,0.76
9839023055,9182663513,688464,2024-09-25T17:43:00.000Z,IMPS,0.86
9889881187,9150342282,141158,2024-04-27T19:56:00.000Z,CARD,0.37
9883674878,9181756475,735295,2024-07-14T05:39:00.000Z,RTGS,0.38
9882736896,9137355033,582720,2024-01-22T16:33:00.000Z,WALLET,0.7
9899370899,9199467610,42775,2024-08-03T14:21:00.000Z,CARD,0.98
9866636953,9194524438,808428,2024-08-26T19:13:00.000Z,IMPS,0.74
9833164174,9139646710,683796,2024-10-23T01:38:00.000Z,UPI,0.98
9882479791,9127656338,274270,2024-10-24T21:54:00.000Z,NEFT,0.58
9850629551,9182237673,111514,2024-09-10T03:28:00.000Z,RTGS,0.95
9844814000,9146125546,463626,2024-03-26T15:20:00.000Z,UPI,0.03
9816416650,9122817753,999198,2024-10-21T03:13:00.000Z,CARD,0.72
9823652062,9157664282,845735,2024-03-10T10:04:00.000Z,IMPS,0.24
9810532798,9124415028,66368,2024-01-05T17:09:00.000Z,UPI,0.62
9874836900,9179113744,895275,2024-01-31T21:03:00.000Z,UPI,0.76
9884223665,9133485897,338567,2024-12-11T02:25:00.000Z,RTGS,0.29
9811248061,9152198348,614598,2024-02-14T07:11:00.000Z,NEFT,0.71
9846072241,9156522875,110360,2024-10-20T19:21:00.000Z,WALLET,0.08
9849962412,9149282453,393742,2024-09-23T22:41:00.000Z,NEFT,0.1
9867233554,9175470447,47383,2024-03-02T14:55:00.000Z,CARD,0.21
9898530816,9142104996,283342,2024-12-26T19:27:00.000Z,WALLET,0.48
9837428371,9129764104,776735,2024-07-11T22:03:00.000Z,WALLET,0.77
9835321311,9121977851,29116,2024-03-08T05:32:00.000Z,IMPS,0.29
9886400993,9145577914,987144,2024-05-26T07:36:00.000Z,IMPS,0.84
9815431060,9124928660,56945,2024-05-14T00:36:00.000Z,WALLET,0.96
9895219164,9188745503,660038,2024-05-06T21:38:00.000Z,NEFT,0.72
9875002210,9171292602,789215,2024-08-02T06:45:00.000Z,UPI,0.95
9823093157,9194372127,121839,2024-11-30T20:47:00.000Z,NEFT,0.27
9853897884,9112276339,171709,2024-08-14T17:12:00.000Z,CARD,0.85
9811681124,9171375416,886354,2024-11-26T10:21:00.000Z,IMPS,0.06
9884751938,9156593084,521785,2024-10-06T06:28:00.000Z,UPI,0.25
9877454766,9120122730,232235,2024-10-15T15:24:00.000Z,NEFT,0.63
9831604084,9158804124,118784,2024-06-05T16:13:00.000Z,UPI,0.14
9810768978,9179987479,420892,2024-08-14T20:16:00.000Z,WALLET,0.01
9826569330,9127419779,839001,2024-07-07T00:03:00.000Z,CARD,0.41
9860684867,9121652329,455913,2024-06-08T06:39:00.000Z,IMPS,0.24
9858110267,9137177611,852215,2024-01-03T22:29:00.000Z,CARD,0.43
9848778657,9112628940,591119,2024-01-25T17:12:00.000Z,IMPS,0.8
9874516934,9130383825,215457,2024-02-20T21:47:00.000Z,NEFT,0.41
9889982685,9136873693,113657,2024-04-08T03:06:00.000Z,CARD,0.82
9839713430,9161723193,303119,2024-09-08T09:27:00.000Z,RTGS,0.08
9893197472,9192292233,350081,2024-07-25T16:01:00.000Z,RTGS,0.85
9857529620,9191053467,849682,2024-08-22T21:57:00.000Z,CARD,0.26
9833307794,9159564320,630697,2024-02-07T04:52:00.000Z,RTGS,0.36
9828593801,9193507278,175070,2024-12-23T12:43:00.000Z,UPI,0.61
9856302395,9145700024,701077,2024-09-28T02:09:00.000Z,WALLET,0.95
9859032183,9158649852,550339,2024-07-22T04:54:00.000Z,WALLET,0.04
9873060064,9194675217,880514,2024-04-16T12:03:00.000Z,NEFT,0.71
9811066269,9161465820,168438,2024-12-21T01:28:00.000Z,IMPS,0.02
9839551325,9114333477,647170,2024-10-20T07:40:00.000Z,IMPS,0.04
9864314205,9170675937,48556,2024-12-09T12:04:00.000Z,IMPS,0.47
9823254019,9162816469,593506,2024-02-25T20:15:00.000Z,WALLET,0.79
9867891156,9127560705,151999,2024-05-21T00:59:00.000Z,RTGS,0.94
9875755725,9123564429,90171,2024-06-03T08:24:00.000Z,NEFT,0.32
9830907500,9166588782,463466,2024-04-15T18:12:00.000Z,UPI,0.72
9861325172,9183600996,773609,2024-01-20T17:43:00.000Z,CARD,0.14
9896533556,9167732494,387359,2024-12-16T21:29:00.000Z,NEFT,0.94
9832528355,9128053471,495830,2024-11-27T07:03:00.000Z,UPI,0.26
9897628591,9133585951,317464,2024-06-28T07:22:00.000Z,CARD,0.63
9835234888,9181097316,351690,2024-05-16T05:16:00.000Z,CARD,0.23
9872752183,9157890155,887815,2024-03-01T09:11:00.000Z,IMPS,0.24
9830539020,9173968804,100502,2024-11-04T06:06:00.000Z,UPI,0.05
9827091402,9147040896,782769,2024-04-23T23:33:00.000Z,UPI,0.69
9893983282,9189136010,565211,2024-02-01T18:42:00.000Z,RTGS,0.61
9858749648,9167406565,956522,2024-09-27T08:57:00.000Z,RTGS,0.41
9848458506,9179001358,464485,2024-07-04T07:33:00.000Z,NEFT,0.55
9871147138,9161009485,158185,2024-02-09T11:22:00.000Z,UPI,0.08
9879887625,9176122808,374384,2024-02-14T18:51:00.000Z,RTGS,0.93
9839477649,9183169411,50278,2024-01-14T03:16:00.000Z,IMPS,0.05
9817209986,9138152361,902673,2024-09-06T10:57:00.000Z,NEFT,0.66
9883577909,9179556779,738700,2024-05-14T15:47:00.000Z,WALLET,0.71
