"caller_phone","receiver_phone","call_count","total_duration","call_date","first_call_time","last_call_time","avg_call_duration","max_call_duration","min_call_duration","call_pattern","proximity_pattern","matched_suspect_id","matched_victim_id","calls_per_day","time_synchronized_txn","matching_txn_date","matching_txn_amount","prosecution_grade","caller_name","receiver_name","caller_role","receiver_role"
"9870000031","9110000007","15","7080","2025-01-13","13:17:41","08:15:35","472","834","304","PERSISTENT","DISTANT","S031","V007","15.0","TRUE","2025-01-13","?8,893,244","B","Omkar Rao","Arjun Singh","SUSPECT","VICTIM"
"9876060836","9114446807","18","13878","2025-02-06","12:47:25","15:41:03","771","1180","324","REGULAR","ROAMING","UNKNOWN","UNKNOWN","18.0","TRUE","2025-02-06","?11,345,198","B","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9872191383","9119863176","2","1038","2025-01-25","10:24:55","19:23:34","519","971","355","REGULAR","ROAMING","UNKNOWN","UNKNOWN","2.0","TRUE","2025-01-25","?19,061,823","C","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9870000034","9112133008","2","836","2025-01-18","07:59:03","18:32:18","418","649","209","PERSISTENT","ROAMING","S034","UNKNOWN","2.0","TRUE","2025-01-18","?9,346,990","C","Uma Kumar","Unknown","SUSPECT","UNKNOWN"
"9873561552","9115655136","4","1868","2025-01-10","22:58:13","10:34:20","467","694","242","BURST","NEAR","UNKNOWN","UNKNOWN","4.0","TRUE","2025-01-10","?8,404,837","A","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9875003671","9110000008","9","2142","2025-02-01","09:29:39","07:19:42","238","311","87","REGULAR","NEAR","UNKNOWN","V008","9.0","TRUE","2025-02-01","?15,153,244","B","Unknown","Fatima Das","UNKNOWN","VICTIM"
"9870000037","9113748655","17","8585","2025-02-07","22:50:52","14:10:23","505","878","181","REGULAR","DISTANT","S037","UNKNOWN","17.0","TRUE","2025-02-07","?9,901,809","B","Ajay Desai","Unknown","SUSPECT","UNKNOWN"
"9871492516","9116620552","15","6420","2025-02-07","08:16:45","08:31:29","428","570","312","PERSISTENT","DISTANT","UNKNOWN","UNKNOWN","15.0","TRUE","2025-02-07","?9,901,809","B","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9873799805","9117168777","7","2877","2025-01-11","09:14:47","22:00:02","411","545","198","FREQUENT","MEDIUM","UNKNOWN","UNKNOWN","7.0","TRUE","2025-01-11","?10,527,499","A","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9870000040","9114002466","3","2148","2025-01-31","13:20:15","19:58:46","716","1285","419","OCCASIONAL","DISTANT","S040","UNKNOWN","3.0","TRUE","2025-01-31","?8,168,609","C","Farooq Desai","Unknown","SUSPECT","UNKNOWN"
"9873003215","9110000009","23","4669","2025-01-16","13:51:33","07:25:04","203","358","92","BURST","DISTANT","UNKNOWN","V009","23.0","TRUE","2025-01-16","?9,610,207","A","Unknown","Mohammad D'Souza","UNKNOWN","VICTIM"
"9872449308","9118662929","2","1054","2025-01-17","15:36:50","15:47:39","527","801","414","REGULAR","ROAMING","UNKNOWN","UNKNOWN","2.0","TRUE","2025-01-17","?7,827,542","C","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9870000043","9115112546","6","936","2025-01-31","06:14:34","17:40:53","156","202","98","FREQUENT","DISTANT","S043","UNKNOWN","6.0","TRUE","2025-01-31","?8,168,609","B","Disha Nair","Unknown","SUSPECT","UNKNOWN"
"9876159172","9112743975","8","5536","2025-01-20","19:31:03","10:45:17","692","1282","518","FREQUENT","NEAR","UNKNOWN","UNKNOWN","8.0","TRUE","2025-01-20","?11,517,348","A+","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9879720112","9117929943","24","12744","2025-02-03","08:37:06","22:08:40","531","878","175","BURST","NEAR","UNKNOWN","UNKNOWN","24.0","TRUE","2025-02-03","?3,365,338","A+","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9870000046","9110000010","11","4587","2025-01-25","18:44:53","16:20:28","417","560","167","OCCASIONAL","MEDIUM","S046","V010","11.0","TRUE","2025-01-25","?19,061,823","B","Iris Verma","Bhavna Banerjee","SUSPECT","VICTIM"
"9872828260","9113607356","5","1590","2025-02-02","20:20:26","09:34:22","318","472","137","REGULAR","ROAMING","UNKNOWN","UNKNOWN","5.0","TRUE","2025-02-02","?8,189,631","C","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9873011815","9112517010","7","5964","2025-01-24","07:13:53","16:09:05","852","1310","276","REGULAR","DISTANT","UNKNOWN","UNKNOWN","7.0","TRUE","2025-01-24","?3,897,410","C","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9870000049","9115364874","7","1267","2025-01-30","20:35:47","23:15:06","181","322","66","BURST","NEAR","S049","UNKNOWN","7.0","TRUE","2025-01-30","?14,954,546","A","Priya Yadav","Unknown","SUSPECT","UNKNOWN"
"9871200603","9112034637","9","2547","2025-01-17","18:23:43","08:37:37","283","371","94","OCCASIONAL","NEAR","UNKNOWN","UNKNOWN","9.0","TRUE","2025-01-17","?7,827,542","B","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9878439543","9110000011","4","1956","2025-01-12","07:29:03","11:59:36","489","781","240","BURST","ROAMING","UNKNOWN","V011","4.0","TRUE","2025-01-12","?9,395,426","B","Unknown","Kamala D'Souza","UNKNOWN","VICTIM"
"9870000002","9113899223","13","4797","2025-01-16","14:17:28","10:02:39","369","623","202","PERSISTENT","MEDIUM","S002","UNKNOWN","13.0","TRUE","2025-01-16","?9,610,207","B","Iris Tripathi","Unknown","SUSPECT","UNKNOWN"
"9879036805","9112023059","4","1744","2025-01-29","10:26:12","22:15:40","436","825","301","PERSISTENT","NEAR","UNKNOWN","UNKNOWN","4.0","TRUE","2025-01-29","?4,380,165","B","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9877024901","9119047769","19","12274","2025-01-27","22:20:24","14:11:01","646","851","455","OCCASIONAL","MEDIUM","UNKNOWN","UNKNOWN","19.0","TRUE","2025-01-27","?2,408,056","B","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9870000005","9111982997","17","11764","2025-01-27","13:10:06","13:42:15","692","1216","535","OCCASIONAL","NEAR","S005","UNKNOWN","17.0","TRUE","2025-01-27","?2,408,056","A","Yashpal Kumar","Unknown","SUSPECT","UNKNOWN"
"9877516648","9110000012","7","2310","2025-01-20","16:51:47","17:58:37","330","616","191","FREQUENT","DISTANT","UNKNOWN","V012","7.0","TRUE","2025-01-20","?11,517,348","B","Unknown","Anil Reddy","UNKNOWN","VICTIM"
"9874158036","9119258194","19","8854","2025-01-16","21:02:05","07:14:38","466","752","139","REGULAR","NEAR","UNKNOWN","UNKNOWN","19.0","TRUE","2025-01-16","?9,610,207","A","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9870000008","9113189251","12","10608","2025-01-16","16:03:01","10:37:45","884","1598","645","REGULAR","NEAR","S008","UNKNOWN","12.0","TRUE","2025-01-16","?9,610,207","B","Jyoti Rao","Unknown","SUSPECT","UNKNOWN"
"9872216878","9117267813","24","19872","2025-01-30","09:21:19","16:08:10","828","1398","320","BURST","ROAMING","UNKNOWN","UNKNOWN","24.0","TRUE","2025-01-30","?14,954,546","A","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9876986539","9114745298","23","17319","2025-01-16","18:19:46","15:08:11","753","1363","516","FREQUENT","ROAMING","UNKNOWN","UNKNOWN","23.0","TRUE","2025-01-16","?9,610,207","A+","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9870000011","9110000013","21","9975","2025-02-13","13:40:36","09:59:31","475","829","199","REGULAR","DISTANT","S011","V013","21.0","TRUE","2025-02-13","?4,641,972","B","Bharti Khan","Anjali Gupta","SUSPECT","VICTIM"
"9876360633","9113816683","22","5280","2025-02-14","16:28:00","14:13:15","240","348","84","FREQUENT","DISTANT","UNKNOWN","UNKNOWN","22.0","TRUE","2025-02-14","?4,462,935","A+","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9871021494","9111807780","14","8372","2025-01-31","11:56:26","21:56:24","598","813","322","OCCASIONAL","ROAMING","UNKNOWN","UNKNOWN","14.0","TRUE","2025-01-31","?8,168,609","C","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9870000014","9113728923","16","3600","2025-01-07","15:01:20","14:06:04","225","412","85","OCCASIONAL","MEDIUM","S014","UNKNOWN","16.0","TRUE","2025-01-07","?6,469,651","B","Yashpal Gupta","Unknown","SUSPECT","UNKNOWN"
"9872258331","9112562037","12","9096","2025-02-13","21:45:01","19:41:10","758","1056","265","PERSISTENT","ROAMING","UNKNOWN","UNKNOWN","12.0","TRUE","2025-02-13","?4,641,972","C","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9874448564","9110000014","15","12945","2025-02-09","23:16:42","15:19:15","863","1325","496","FREQUENT","NEAR","UNKNOWN","V014","15.0","TRUE","2025-02-09","?9,921,347","A+","Unknown","Pooja Roy","UNKNOWN","VICTIM"
"9870000017","9113576811","3","1557","2025-01-05","19:05:18","21:12:06","519","727","231","FREQUENT","MEDIUM","S017","UNKNOWN","3.0","TRUE","2025-01-05","?11,377,912","A","Pooja Nair","Unknown","SUSPECT","UNKNOWN"
"9872374659","9118945197","5","2325","2025-01-30","21:31:57","14:05:41","465","656","345","PERSISTENT","ROAMING","UNKNOWN","UNKNOWN","5.0","TRUE","2025-01-30","?14,954,546","C","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9877197531","9114130342","16","3120","2025-01-21","20:29:16","13:53:17","195","271","126","PERSISTENT","NEAR","UNKNOWN","UNKNOWN","16.0","TRUE","2025-01-21","?7,486,455","A","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9870000020","9112437930","23","11546","2025-02-08","19:48:37","13:35:03","502","943","323","BURST","ROAMING","S020","UNKNOWN","23.0","TRUE","2025-02-08","?13,058,387","A","Arun Patel","Unknown","SUSPECT","UNKNOWN"
"9878966231","9110000015","17","7752","2025-01-10","18:57:54","07:32:36","456","625","309","PERSISTENT","MEDIUM","UNKNOWN","V015","17.0","TRUE","2025-01-10","?8,404,837","B","Unknown","Kavitha Chopra","UNKNOWN","VICTIM"
"9873900427","9113804559","8","2776","2025-01-13","07:27:05","19:12:52","347","517","230","REGULAR","DISTANT","UNKNOWN","UNKNOWN","8.0","TRUE","2025-01-13","?8,893,244","C","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9870000023","9112460078","14","10066","2025-01-30","23:20:54","14:33:29","719","983","269","FREQUENT","ROAMING","S023","UNKNOWN","14.0","TRUE","2025-01-30","?14,954,546","B","Neha Verma","Unknown","SUSPECT","UNKNOWN"
"9872681144","9112772258","20","5060","2025-01-23","23:56:22","19:16:24","253","334","110","BURST","ROAMING","UNKNOWN","UNKNOWN","20.0","TRUE","2025-01-23","?15,624,222","A","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9873413447","9117739741","3","1665","2025-01-26","13:03:47","21:58:17","555","834","386","OCCASIONAL","NEAR","UNKNOWN","UNKNOWN","3.0","TRUE","2025-01-26","?5,104,198","B","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9870000026","9110000016","17","14654","2025-01-11","13:08:19","20:49:52","862","1497","519","OCCASIONAL","DISTANT","S026","V016","17.0","TRUE","2025-01-11","?10,527,499","B","Geeta Patel","Ashok Patel","SUSPECT","VICTIM"
"9872497984","9114153037","16","5856","2025-01-31","21:48:33","17:52:03","366","490","239","PERSISTENT","MEDIUM","UNKNOWN","UNKNOWN","16.0","TRUE","2025-01-31","?8,168,609","B","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9877767679","9113275826","18","13176","2025-01-06","11:12:56","12:53:03","732","1152","555","REGULAR","NEAR","UNKNOWN","UNKNOWN","18.0","TRUE","2025-01-06","?15,243,515","A","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9870000029","9115596579","13","8125","2025-02-06","18:40:59","09:43:01","625","995","326","REGULAR","DISTANT","S029","UNKNOWN","13.0","TRUE","2025-02-06","?11,345,198","C","Wendy Singh","Unknown","SUSPECT","UNKNOWN"
"9878962169","9116867997","13","4121","2025-01-21","08:18:01","18:03:10","317","575","197","PERSISTENT","MEDIUM","UNKNOWN","UNKNOWN","13.0","TRUE","2025-01-21","?7,486,455","B","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9874468370","9110000017","22","12518","2025-02-06","06:55:49","06:30:58","569","944","173","REGULAR","MEDIUM","UNKNOWN","V017","22.0","TRUE","2025-02-06","?11,345,198","A","Unknown","Arjun Tomar","UNKNOWN","VICTIM"
"9870000032","9116124763","24","21024","2025-01-22","19:57:24","17:29:16","876","1297","490","REGULAR","ROAMING","S032","UNKNOWN","24.0","TRUE","2025-01-22","?3,073,662","B","Wendy Singh","Unknown","SUSPECT","UNKNOWN"
"9877663113","9112716512","2","1346","2025-01-28","23:41:38","15:19:43","673","900","534","FREQUENT","ROAMING","UNKNOWN","UNKNOWN","2.0","TRUE","2025-01-28","?4,587,146","B","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9876454894","9115645358","10","8210","2025-01-24","12:09:33","13:57:03","821","1392","525","PERSISTENT","ROAMING","UNKNOWN","UNKNOWN","10.0","TRUE","2025-01-24","?3,897,410","C","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9870000035","9119344531","11","4565","2025-01-31","18:24:47","07:37:45","415","624","272","PERSISTENT","MEDIUM","S035","UNKNOWN","11.0","TRUE","2025-01-31","?8,168,609","B","Zara Pandey","Unknown","SUSPECT","UNKNOWN"
"9879969688","9110000018","23","11891","2025-02-06","15:54:10","23:11:18","517","711","221","FREQUENT","ROAMING","UNKNOWN","V018","23.0","TRUE","2025-02-06","?11,345,198","A+","Unknown","Pooja Das","UNKNOWN","VICTIM"
"9874071377","9116630978","22","5302","2025-01-19","17:14:47","15:26:50","241","350","107","OCCASIONAL","DISTANT","UNKNOWN","UNKNOWN","22.0","TRUE","2025-01-19","?1,277,672","B","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9870000038","9118894293","3","2397","2025-02-11","08:30:56","12:32:07","799","1236","587","BURST","DISTANT","S038","UNKNOWN","3.0","TRUE","2025-02-11","?2,760,219","B","Vikram Khan","Unknown","SUSPECT","UNKNOWN"
"9873529642","9113304606","8","4000","2025-01-31","20:09:20","11:49:05","500","839","194","BURST","DISTANT","UNKNOWN","UNKNOWN","8.0","TRUE","2025-01-31","?8,168,609","B","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9871973306","9111079079","16","6880","2025-01-18","11:36:48","11:31:50","430","717","265","FREQUENT","MEDIUM","UNKNOWN","UNKNOWN","16.0","TRUE","2025-01-18","?9,346,990","A+","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9870000041","9110000019","17","9214","2025-01-05","07:34:12","17:00:57","542","710","163","OCCASIONAL","MEDIUM","S041","V019","17.0","TRUE","2025-01-05","?11,377,912","B","Sunita Pandey","Rakesh Pillai","SUSPECT","VICTIM"
"9875174559","9114796108","24","12048","2025-01-24","10:06:24","22:37:19","502","900","225","REGULAR","NEAR","UNKNOWN","UNKNOWN","24.0","TRUE","2025-01-24","?3,897,410","A+","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9875879280","9118649174","25","17050","2025-02-12","22:21:27","10:21:57","682","1193","260","BURST","DISTANT","UNKNOWN","UNKNOWN","25.0","TRUE","2025-02-12","?8,488,722","A","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9870000044","9111320859","9","3411","2025-01-13","12:46:01","22:10:07","379","578","235","OCCASIONAL","NEAR","S044","UNKNOWN","9.0","TRUE","2025-01-13","?8,893,244","B","Esha Nair","Unknown","SUSPECT","UNKNOWN"
"9879971338","9111815153","21","4179","2025-01-11","06:03:44","09:26:28","199","324","106","BURST","NEAR","UNKNOWN","UNKNOWN","21.0","TRUE","2025-01-11","?10,527,499","A+","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9873569046","9110000020","24","20448","2025-02-14","06:19:26","09:42:33","852","1321","638","OCCASIONAL","MEDIUM","UNKNOWN","V020","24.0","TRUE","2025-02-14","?4,462,935","A","Unknown","Rakesh Kale","UNKNOWN","VICTIM"
"9870000047","9112975258","11","2926","2025-01-11","21:12:38","12:49:16","266","402","134","PERSISTENT","MEDIUM","S047","UNKNOWN","11.0","TRUE","2025-01-11","?10,527,499","B","Laxman Verma","Unknown","SUSPECT","UNKNOWN"
"9873690622","9111661118","19","12502","2025-01-18","21:21:15","06:00:42","658","1185","417","FREQUENT","NEAR","UNKNOWN","UNKNOWN","19.0","TRUE","2025-01-18","?9,346,990","A+","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9873502229","9112511336","18","4068","2025-01-11","14:41:14","20:18:16","226","307","87","BURST","NEAR","UNKNOWN","UNKNOWN","18.0","TRUE","2025-01-11","?10,527,499","A+","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9870000050","9115874908","13","10959","2025-01-25","19:47:07","09:54:48","843","1526","532","FREQUENT","NEAR","S050","UNKNOWN","13.0","TRUE","2025-01-25","?19,061,823","A+","Mohini Yadav","Unknown","SUSPECT","UNKNOWN"
"9873860721","9110000021","13","7774","2025-02-13","14:56:46","08:23:52","598","818","299","OCCASIONAL","MEDIUM","UNKNOWN","V021","13.0","TRUE","2025-02-13","?4,641,972","B","Unknown","Priyanka Srivastava","UNKNOWN","VICTIM"
"9878659448","9115560602","14","11984","2025-02-04","19:41:56","11:07:08","856","1166","646","FREQUENT","MEDIUM","UNKNOWN","UNKNOWN","14.0","TRUE","2025-02-04","?5,872,186","A","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9870000003","9118351152","7","5425","2025-01-29","17:39:01","10:30:58","775","1420","403","BURST","NEAR","S003","UNKNOWN","7.0","TRUE","2025-01-29","?4,380,165","A","Kiran Mishra","Unknown","SUSPECT","UNKNOWN"
"9872062602","9115389135","22","10362","2025-01-05","22:49:47","13:42:55","471","734","312","OCCASIONAL","NEAR","UNKNOWN","UNKNOWN","22.0","TRUE","2025-01-05","?11,377,912","A+","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9879085438","9116800713","23","19366","2025-01-29","10:53:52","23:57:39","842","1419","318","FREQUENT","NEAR","UNKNOWN","UNKNOWN","23.0","TRUE","2025-01-29","?4,380,165","A+","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9870000006","9110000022","7","1582","2025-02-05","16:15:21","14:03:32","226","348","94","REGULAR","ROAMING","S006","V022","7.0","TRUE","2025-02-05","?8,650,102","C","Uma Menon","Ramesh Kumar","SUSPECT","VICTIM"
"9878702329","9118452252","20","12160","2025-01-10","21:28:20","09:31:47","608","937","193","FREQUENT","NEAR","UNKNOWN","UNKNOWN","20.0","TRUE","2025-01-10","?8,404,837","A+","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9871002847","9112524974","21","16443","2025-02-14","15:56:32","23:13:41","783","1188","256","BURST","DISTANT","UNKNOWN","UNKNOWN","21.0","TRUE","2025-02-14","?4,462,935","A","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9870000009","9118624573","12","8676","2025-02-13","21:45:42","17:45:28","723","1269","297","FREQUENT","NEAR","S009","UNKNOWN","12.0","TRUE","2025-02-13","?4,641,972","A+","Mohammad Bhat","Unknown","SUSPECT","UNKNOWN"
"9876727022","9116958243","22","9856","2025-02-09","22:23:44","09:02:57","448","620","294","REGULAR","ROAMING","UNKNOWN","UNKNOWN","22.0","TRUE","2025-02-09","?9,921,347","B","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9877865417","9110000023","10","7750","2025-01-17","12:07:59","18:13:29","775","1057","393","REGULAR","DISTANT","UNKNOWN","V023","10.0","TRUE","2025-01-17","?7,827,542","C","Unknown","Priyanka Banerjee","UNKNOWN","VICTIM"
"9870000012","9118558212","16","13184","2025-02-11","22:08:31","06:33:47","824","1485","446","FREQUENT","ROAMING","S012","UNKNOWN","16.0","TRUE","2025-02-11","?2,760,219","A","Sunita Joshi","Unknown","SUSPECT","UNKNOWN"
"9879528410","9113972963","24","17808","2025-01-16","10:06:24","16:32:56","742","1400","562","BURST","ROAMING","UNKNOWN","UNKNOWN","24.0","TRUE","2025-01-16","?9,610,207","A","Unknown","Unknown","UNKNOWN","UNKNOWN"
